,val,err_analyt,err_boot,framesA,framesB
c6946e5_ec190fe_ligand_1,4.62,1.17,1.34,80.0,80.0
c6946e5_ec190fe_complex_1,8.02,0.55,0.59,80.0,80.0
c6946e5_ec190fe_ligand_2,4.44,0.84,0.88,80.0,80.0
c6946e5_ec190fe_complex_2,5.82,0.49,0.59,80.0,80.0
c6946e5_ec190fe_ligand_3,3.91,0.91,0.92,80.0,80.0
c6946e5_ec190fe_complex_3,6.08,1.15,0.77,80.0,80.0
2e7d67a_c6946e5_ligand_1,127.82,0.3,0.33,80.0,80.0
2e7d67a_c6946e5_complex_1,123.89,0.67,0.56,80.0,80.0
2e7d67a_c6946e5_ligand_2,127.26,0.31,0.31,80.0,80.0
2e7d67a_c6946e5_complex_2,122.24,0.56,0.41,80.0,80.0
2e7d67a_c6946e5_ligand_3,127.69,0.3,0.27,80.0,80.0
2e7d67a_c6946e5_complex_3,131.21,1.18,0.71,80.0,80.0
a49ff60_c6946e5_ligand_1,-25.9,0.31,0.31,80.0,80.0
a49ff60_c6946e5_complex_1,-30.31,0.71,0.62,80.0,80.0
a49ff60_c6946e5_ligand_2,-25.67,0.37,0.34,80.0,80.0
a49ff60_c6946e5_complex_2,-29.67,0.45,0.47,80.0,80.0
a49ff60_c6946e5_ligand_3,-25.96,0.35,0.36,80.0,80.0
a49ff60_c6946e5_complex_3,-28.22,0.43,0.41,80.0,80.0
67d7385_c6946e5_ligand_1,33.44,1.07,0.76,79.0,80.0
67d7385_c6946e5_complex_1,26.04,0.42,0.4,80.0,80.0
67d7385_c6946e5_ligand_2,32.96,1.02,1.17,80.0,80.0
67d7385_c6946e5_complex_2,24.45,0.41,0.57,80.0,80.0
67d7385_c6946e5_ligand_3,32.6,1.2,1.2,80.0,80.0
67d7385_c6946e5_complex_3,22.09,0.62,0.5,80.0,80.0
06fb0e5_2e7d67a_ligand_1,-192.27,2.09,1.09,80.0,80.0
06fb0e5_2e7d67a_complex_1,-187.24,2.02,0.98,80.0,80.0
06fb0e5_2e7d67a_ligand_2,-194.97,1.41,1.61,80.0,80.0
06fb0e5_2e7d67a_complex_2,-190.87,0.8,0.79,80.0,80.0
06fb0e5_2e7d67a_ligand_3,-191.88,1.66,1.56,79.0,79.0
06fb0e5_2e7d67a_complex_3,-196.03,1.31,1.15,80.0,80.0
06fb0e5_3cb0917_ligand_1,-556.64,0.46,0.46,73.0,80.0
06fb0e5_3cb0917_complex_1,-554.7,0.47,0.39,80.0,79.0
06fb0e5_3cb0917_ligand_2,-556.65,0.38,0.33,80.0,80.0
06fb0e5_3cb0917_complex_2,-557.23,0.71,0.69,80.0,80.0
06fb0e5_3cb0917_ligand_3,-557.09,0.39,0.35,80.0,80.0
06fb0e5_3cb0917_complex_3,-555.84,0.47,0.44,80.0,80.0
3cb0917_ec190fe_ligand_1,497.55,1.17,1.05,80.0,80.0
3cb0917_ec190fe_complex_1,490.11,0.6,0.93,80.0,80.0
3cb0917_ec190fe_ligand_2,499.16,1.24,1.51,80.0,80.0
3cb0917_ec190fe_complex_2,489.31,1.1,1.35,80.0,80.0
3cb0917_ec190fe_ligand_3,498.05,0.98,0.91,80.0,80.0
3cb0917_ec190fe_complex_3,485.76,0.82,0.82,80.0,80.0
ec190fe_f895b60_ligand_1,-55.02,0.57,0.46,80.0,80.0
ec190fe_f895b60_complex_1,-58.06,1.78,0.64,80.0,80.0
ec190fe_f895b60_ligand_2,-55.45,0.6,0.48,80.0,80.0
ec190fe_f895b60_complex_2,-60.49,1.19,1.4,80.0,80.0
ec190fe_f895b60_ligand_3,-54.33,0.71,0.77,80.0,80.0
ec190fe_f895b60_complex_3,-55.09,1.81,0.8,80.0,80.0
06c56c5_ec190fe_ligand_1,-53.02,0.26,0.3,80.0,80.0
06c56c5_ec190fe_complex_1,-48.03,0.62,0.29,80.0,79.0
06c56c5_ec190fe_ligand_2,-53.22,0.28,0.27,80.0,80.0
06c56c5_ec190fe_complex_2,-50.79,1.21,0.51,80.0,80.0
