,val,err_analyt,err_boot,framesA,framesB
c6946e5_ec190fe_complex_1,12.24,0.3,0.35,79.0,79.0
c6946e5_ec190fe_ligand_1,5.63,0.25,0.26,79.0,78.0
c6946e5_ec190fe_complex_2,9.79,0.39,0.38,79.0,79.0
c6946e5_ec190fe_ligand_2,5.51,0.28,0.28,79.0,79.0
c6946e5_ec190fe_complex_3,11.0,0.47,0.42,79.0,79.0
c6946e5_ec190fe_ligand_3,5.86,0.27,0.26,79.0,79.0
2e7d67a_c6946e5_complex_1,125.74,0.68,0.66,79.0,79.0
2e7d67a_c6946e5_ligand_1,126.15,0.33,0.33,79.0,79.0
2e7d67a_c6946e5_complex_2,129.89,0.53,0.58,79.0,79.0
2e7d67a_c6946e5_ligand_2,126.39,0.34,0.33,79.0,79.0
2e7d67a_c6946e5_complex_3,121.29,0.58,0.64,79.0,79.0
2e7d67a_c6946e5_ligand_3,125.74,0.31,0.3,79.0,79.0
a49ff60_c6946e5_complex_1,-33.18,0.49,0.41,79.0,79.0
a49ff60_c6946e5_ligand_1,-30.3,1.23,1.3,79.0,79.0
a49ff60_c6946e5_complex_2,-31.63,0.51,0.44,79.0,79.0
a49ff60_c6946e5_ligand_2,-30.09,1.01,0.94,79.0,79.0
a49ff60_c6946e5_complex_3,-30.98,0.49,0.53,79.0,79.0
a49ff60_c6946e5_ligand_3,-26.98,1.19,0.91,79.0,79.0
67d7385_c6946e5_complex_1,24.33,0.57,0.64,79.0,79.0
67d7385_c6946e5_ligand_1,30.03,0.28,0.27,79.0,79.0
67d7385_c6946e5_complex_2,21.75,0.37,0.4,79.0,79.0
67d7385_c6946e5_ligand_2,30.98,0.29,0.32,79.0,79.0
67d7385_c6946e5_complex_3,21.42,0.36,0.44,79.0,79.0
67d7385_c6946e5_ligand_3,30.44,0.3,0.3,79.0,79.0
06fb0e5_2e7d67a_complex_1,-194.24,0.68,0.72,79.0,79.0
06fb0e5_2e7d67a_ligand_1,-191.98,2.4,1.02,79.0,79.0
06fb0e5_2e7d67a_complex_2,-193.21,0.89,0.71,78.0,79.0
06fb0e5_2e7d67a_ligand_2,-189.75,1.81,1.47,79.0,79.0
06fb0e5_2e7d67a_complex_3,-189.99,1.53,1.12,79.0,79.0
06fb0e5_2e7d67a_ligand_3,-190.07,1.69,1.04,79.0,79.0
06fb0e5_3cb0917_complex_1,-575.06,0.62,0.67,79.0,79.0
06fb0e5_3cb0917_ligand_1,-576.33,0.39,0.38,79.0,79.0
06fb0e5_3cb0917_complex_2,-572.97,0.61,0.65,79.0,79.0
06fb0e5_3cb0917_ligand_2,-575.76,0.41,0.38,79.0,79.0
06fb0e5_3cb0917_complex_3,-575.19,0.64,0.66,79.0,79.0
06fb0e5_3cb0917_ligand_3,-575.78,0.4,0.43,79.0,79.0
3cb0917_ec190fe_complex_1,518.14,0.81,1.04,79.0,79.0
3cb0917_ec190fe_ligand_1,520.88,0.82,0.92,79.0,79.0
3cb0917_ec190fe_complex_2,512.58,1.02,0.94,79.0,79.0
3cb0917_ec190fe_ligand_2,518.94,0.77,0.76,79.0,79.0
3cb0917_ec190fe_complex_3,516.98,1.08,1.07,79.0,79.0
3cb0917_ec190fe_ligand_3,520.9,0.68,0.62,79.0,79.0
ec190fe_f895b60_complex_1,-55.87,1.06,1.04,79.0,79.0
ec190fe_f895b60_ligand_1,-54.13,0.65,0.62,79.0,79.0
ec190fe_f895b60_complex_2,-59.6,1.96,1.61,79.0,79.0
ec190fe_f895b60_ligand_2,-53.9,0.57,0.53,79.0,79.0
ec190fe_f895b60_complex_3,-54.49,2.06,0.79,79.0,79.0
ec190fe_f895b60_ligand_3,-54.63,0.57,0.55,79.0,79.0
06c56c5_ec190fe_complex_1,-50.99,0.54,0.45,79.0,79.0
06c56c5_ec190fe_ligand_1,-54.59,0.29,0.29,79.0,79.0
06c56c5_ec190fe_complex_2,-55.62,0.4,0.43,79.0,79.0
06c56c5_ec190fe_ligand_2,-54.73,0.29,0.31,79.0,79.0
06c56c5_ec190fe_complex_3,-52.83,0.41,0.41,79.0,79.0
06c56c5_ec190fe_ligand_3,-54.67,0.25,0.29,79.0,79.0
396f6c0_ec190fe_complex_1,457.74,1.58,0.89,79.0,79.0
396f6c0_ec190fe_ligand_1,454.77,0.6,0.49,79.0,79.0
396f6c0_ec190fe_complex_2,461.82,1.17,1.05,79.0,79.0
396f6c0_ec190fe_ligand_2,455.97,0.65,0.68,79.0,79.0
396f6c0_ec190fe_complex_3,460.05,1.2,0.86,79.0,79.0
396f6c0_ec190fe_ligand_3,454.66,0.62,0.59,79.0,79.0
932532b_ec190fe_complex_1,20.87,0.57,0.52,79.0,79.0
932532b_ec190fe_ligand_1,13.04,0.34,0.34,79.0,79.0
932532b_ec190fe_complex_2,16.74,0.39,0.48,79.0,79.0
