,val,err_analyt,err_boot,framesA,framesB
c6946e5_ec190fe_ligand_1,6.03,0.74,0.67,80.0,80.0
c6946e5_ec190fe_complex_1,9.09,0.46,0.45,80.0,80.0
c6946e5_ec190fe_ligand_2,5.02,0.77,0.77,80.0,80.0
c6946e5_ec190fe_complex_2,8.21,0.43,0.47,80.0,80.0
c6946e5_ec190fe_ligand_3,3.95,0.73,0.96,80.0,80.0
c6946e5_ec190fe_complex_3,8.68,0.64,0.65,80.0,80.0
2e7d67a_c6946e5_ligand_1,125.1,0.34,0.31,80.0,80.0
2e7d67a_c6946e5_complex_1,118.27,0.55,0.45,80.0,80.0
2e7d67a_c6946e5_ligand_2,124.93,0.34,0.33,80.0,80.0
2e7d67a_c6946e5_complex_2,121.93,0.87,0.55,80.0,80.0
2e7d67a_c6946e5_ligand_3,124.91,0.29,0.28,80.0,80.0
2e7d67a_c6946e5_complex_3,120.35,0.54,0.4,80.0,80.0
a49ff60_c6946e5_ligand_1,-28.75,0.4,0.36,80.0,80.0
a49ff60_c6946e5_complex_1,-33.11,0.63,0.45,80.0,80.0
a49ff60_c6946e5_ligand_2,-28.22,0.39,0.45,80.0,80.0
a49ff60_c6946e5_complex_2,-33.52,0.59,0.58,80.0,80.0
a49ff60_c6946e5_ligand_3,-28.75,0.37,0.35,80.0,80.0
a49ff60_c6946e5_complex_3,-32.2,0.69,0.65,80.0,80.0
67d7385_c6946e5_ligand_1,29.69,0.29,0.31,80.0,80.0
67d7385_c6946e5_complex_1,36.2,0.47,0.58,80.0,80.0
67d7385_c6946e5_ligand_2,30.47,0.3,0.32,80.0,80.0
67d7385_c6946e5_complex_2,37.54,0.54,0.48,80.0,80.0
67d7385_c6946e5_ligand_3,30.24,0.32,0.34,80.0,80.0
67d7385_c6946e5_complex_3,35.56,0.9,0.7,80.0,80.0
06fb0e5_2e7d67a_ligand_1,-193.98,1.57,1.78,80.0,80.0
06fb0e5_2e7d67a_complex_1,-194.92,1.56,1.92,80.0,80.0
06fb0e5_2e7d67a_ligand_2,-194.39,1.51,1.18,80.0,80.0
06fb0e5_2e7d67a_complex_2,-202.5,1.63,1.14,80.0,80.0
06fb0e5_2e7d67a_ligand_3,-194.2,1.64,1.99,80.0,80.0
06fb0e5_2e7d67a_complex_3,-194.46,2.63,2.92,80.0,80.0
06fb0e5_3cb0917_ligand_1,-522.63,0.78,0.74,80.0,80.0
06fb0e5_3cb0917_complex_1,-525.44,2.57,1.48,80.0,80.0
06fb0e5_3cb0917_ligand_2,-524.07,0.71,0.94,80.0,80.0
06fb0e5_3cb0917_complex_2,-528.05,2.46,0.78,80.0,80.0
06fb0e5_3cb0917_ligand_3,-522.7,0.65,0.68,80.0,80.0
06fb0e5_3cb0917_complex_3,-527.55,2.74,1.51,80.0,80.0
3cb0917_ec190fe_ligand_1,466.1,0.93,0.83,80.0,80.0
3cb0917_ec190fe_complex_1,469.14,2.5,2.37,80.0,80.0
3cb0917_ec190fe_ligand_2,463.89,0.78,0.66,80.0,80.0
3cb0917_ec190fe_complex_2,469.02,1.37,0.82,80.0,80.0
3cb0917_ec190fe_ligand_3,460.65,0.93,0.78,80.0,80.0
3cb0917_ec190fe_complex_3,462.95,3.45,1.22,80.0,80.0
ec190fe_f895b60_ligand_1,-52.27,0.6,0.59,80.0,80.0
ec190fe_f895b60_complex_1,-52.36,1.0,1.04,80.0,80.0
ec190fe_f895b60_ligand_2,-52.84,0.65,0.63,80.0,80.0
ec190fe_f895b60_complex_2,-46.96,2.18,1.64,80.0,80.0
ec190fe_f895b60_ligand_3,-54.04,0.65,0.63,80.0,80.0
ec190fe_f895b60_complex_3,-50.08,1.21,1.24,80.0,80.0
06c56c5_ec190fe_ligand_1,-56.28,0.28,0.29,80.0,80.0
06c56c5_ec190fe_complex_1,-46.69,0.38,0.35,80.0,80.0
06c56c5_ec190fe_ligand_2,-55.49,0.28,0.3,80.0,80.0
06c56c5_ec190fe_complex_2,-43.37,0.39,0.32,80.0,80.0
06c56c5_ec190fe_ligand_3,-55.9,0.27,0.28,80.0,80.0
06c56c5_ec190fe_complex_3,-44.3,0.39,0.3,80.0,80.0
396f6c0_ec190fe_ligand_1,496.47,0.74,0.72,80.0,80.0
396f6c0_ec190fe_complex_1,499.41,1.3,1.5,80.0,80.0
396f6c0_ec190fe_ligand_2,497.56,0.61,0.5,80.0,80.0
396f6c0_ec190fe_complex_2,498.19,1.69,1.97,80.0,80.0
396f6c0_ec190fe_ligand_3,496.31,0.64,0.56,80.0,80.0
396f6c0_ec190fe_complex_3,499.23,1.22,1.45,80.0,80.0
932532b_ec190fe_ligand_1,-37.29,0.97,0.64,80.0,80.0
932532b_ec190fe_complex_1,-27.64,0.71,0.55,80.0,80.0
932532b_ec190fe_ligand_2,-35.56,0.89,0.65,80.0,80.0
932532b_ec190fe_complex_2,-33.43,0.48,0.58,80.0,80.0
932532b_ec190fe_ligand_3,-35.97,0.85,0.81,80.0,80.0
932532b_ec190fe_complex_3,-29.18,0.59,0.52,80.0,80.0
bc7848a_ec190fe_ligand_1,93.72,0.38,0.41,80.0,80.0
bc7848a_ec190fe_complex_1,95.51,0.46,0.5,80.0,80.0
bc7848a_ec190fe_ligand_2,94.39,0.32,0.33,80.0,80.0
bc7848a_ec190fe_complex_2,92.03,0.82,0.56,80.0,80.0
bc7848a_ec190fe_ligand_3,94.2,0.36,0.36,80.0,80.0
bc7848a_ec190fe_complex_3,89.57,1.06,0.81,80.0,80.0
2e7d67a_9e11dad_ligand_1,242.5,0.86,0.84,80.0,80.0
2e7d67a_9e11dad_complex_1,248.01,1.45,1.44,80.0,80.0
2e7d67a_9e11dad_ligand_2,243.51,0.95,0.96,80.0,80.0
2e7d67a_9e11dad_complex_2,229.49,11.94,1.13,80.0,80.0
2e7d67a_9e11dad_ligand_3,245.69,0.93,0.95,80.0,80.0
2e7d67a_9e11dad_complex_3,237.82,1.29,0.73,80.0,80.0
2e7d67a_dd057b1_ligand_1,166.51,0.78,0.84,80.0,80.0
2e7d67a_dd057b1_complex_1,167.52,1.27,1.23,80.0,80.0
2e7d67a_dd057b1_ligand_2,167.55,0.76,0.71,80.0,80.0
2e7d67a_dd057b1_complex_2,166.69,1.19,1.22,80.0,80.0
2e7d67a_dd057b1_ligand_3,167.33,0.68,0.58,80.0,80.0
2e7d67a_dd057b1_complex_3,167.02,2.29,1.81,80.0,80.0
151d931_2e7d67a_ligand_1,-52.55,0.29,0.3,80.0,80.0
151d931_2e7d67a_complex_1,-49.52,0.5,0.5,80.0,80.0
151d931_2e7d67a_ligand_2,-52.1,0.3,0.32,80.0,80.0
151d931_2e7d67a_complex_2,-47.51,0.56,0.42,80.0,80.0
151d931_2e7d67a_ligand_3,-52.19,0.29,0.26,80.0,80.0
151d931_2e7d67a_complex_3,-51.23,0.53,0.43,80.0,80.0
2e7d67a_a49ff60_ligand_1,153.51,0.38,0.43,80.0,80.0
2e7d67a_a49ff60_complex_1,146.0,0.51,0.49,80.0,80.0
2e7d67a_a49ff60_ligand_2,153.87,0.35,0.36,80.0,80.0
2e7d67a_a49ff60_complex_2,150.37,0.59,0.58,80.0,80.0
2e7d67a_a49ff60_ligand_3,153.4,0.36,0.33,80.0,80.0
2e7d67a_a49ff60_complex_3,152.51,0.42,0.5,80.0,80.0
9e11dad_dd057b1_ligand_1,-76.7,1.59,1.89,80.0,80.0
9e11dad_dd057b1_complex_1,-90.69,5.65,2.04,80.0,80.0
9e11dad_dd057b1_ligand_2,-77.93,1.18,0.94,80.0,80.0
9e11dad_dd057b1_complex_2,-79.67,4.31,1.22,80.0,80.0
9e11dad_dd057b1_ligand_3,-78.05,1.33,1.44,80.0,80.0
9e11dad_dd057b1_complex_3,-75.53,2.34,2.49,80.0,80.0
3a5ec71_9e11dad_ligand_1,-99.11,0.55,0.52,80.0,80.0
3a5ec71_9e11dad_complex_1,-101.12,1.01,0.86,80.0,80.0
3a5ec71_9e11dad_ligand_2,-99.54,0.7,0.65,80.0,80.0
3a5ec71_9e11dad_complex_2,-104.33,0.9,0.95,80.0,80.0
3a5ec71_9e11dad_ligand_3,-101.35,0.79,0.71,80.0,80.0
3a5ec71_9e11dad_complex_3,-109.25,1.4,1.39,80.0,80.0
b2917d9_d363fad_ligand_1,-190.17,0.49,0.51,80.0,80.0
b2917d9_d363fad_complex_1,-183.14,1.46,0.87,80.0,80.0
b2917d9_d363fad_ligand_2,-189.29,0.59,0.52,80.0,80.0
b2917d9_d363fad_complex_2,-184.9,1.22,1.3,80.0,80.0
b2917d9_d363fad_ligand_3,-190.23,0.66,0.58,80.0,80.0
b2917d9_d363fad_complex_3,-183.82,2.84,1.53,80.0,80.0
151d931_b2917d9_ligand_1,119.91,0.44,0.48,80.0,80.0
151d931_b2917d9_complex_1,120.94,0.51,0.52,80.0,80.0
151d931_b2917d9_ligand_2,121.1,0.53,0.5,80.0,80.0
151d931_b2917d9_complex_2,117.86,0.58,0.55,80.0,80.0
151d931_b2917d9_ligand_3,120.06,0.47,0.48,80.0,80.0
151d931_b2917d9_complex_3,118.76,0.58,0.65,80.0,80.0
0551d34_b2917d9_ligand_1,26.88,0.43,0.47,80.0,80.0
0551d34_b2917d9_complex_1,8.68,4.06,2.19,80.0,80.0
0551d34_b2917d9_ligand_2,26.45,0.49,0.54,80.0,80.0
0551d34_b2917d9_complex_2,22.02,0.6,0.51,80.0,80.0
0551d34_b2917d9_ligand_3,28.54,0.51,0.45,80.0,80.0
0551d34_b2917d9_complex_3,23.29,0.47,0.51,80.0,80.0
3cb0917_d363fad_ligand_1,311.57,1.02,0.72,80.0,80.0
3cb0917_d363fad_complex_1,319.14,2.17,2.19,80.0,80.0
3cb0917_d363fad_ligand_2,311.8,0.83,0.69,80.0,80.0
3cb0917_d363fad_complex_2,311.75,10.98,1.75,80.0,80.0
3cb0917_d363fad_ligand_3,308.64,1.33,1.11,80.0,80.0
3cb0917_d363fad_complex_3,311.36,1.41,1.39,80.0,80.0
d363fad_e996a33_ligand_1,-103.11,0.52,0.63,80.0,80.0
d363fad_e996a33_complex_1,-111.87,1.4,1.26,80.0,80.0
d363fad_e996a33_ligand_2,-103.71,0.49,0.59,80.0,80.0
d363fad_e996a33_complex_2,-115.26,1.87,0.96,80.0,80.0
d363fad_e996a33_ligand_3,-103.35,0.52,0.44,80.0,80.0
d363fad_e996a33_complex_3,-105.88,2.48,2.51,80.0,80.0
40f93bc_b6facb2_ligand_1,-196.35,0.4,0.37,80.0,80.0
40f93bc_b6facb2_complex_1,-190.01,0.88,0.77,80.0,80.0
40f93bc_b6facb2_ligand_2,-196.13,0.4,0.46,80.0,80.0
40f93bc_b6facb2_complex_2,-187.27,0.79,0.79,80.0,80.0
40f93bc_b6facb2_ligand_3,-196.45,0.38,0.38,80.0,80.0
40f93bc_b6facb2_complex_3,-190.82,0.8,0.81,80.0,80.0
0681973_b6facb2_ligand_1,-290.18,0.59,0.56,80.0,80.0
0681973_b6facb2_complex_1,-293.29,1.69,1.41,80.0,80.0
0681973_b6facb2_ligand_2,-288.16,0.63,0.51,80.0,80.0
0681973_b6facb2_complex_2,-294.91,1.17,1.45,80.0,80.0
0681973_b6facb2_ligand_3,-290.22,0.5,0.47,80.0,80.0
0681973_b6facb2_complex_3,-299.04,0.94,1.18,80.0,80.0
0681973_dd057b1_ligand_1,-58.18,1.14,0.85,80.0,80.0
0681973_dd057b1_complex_1,-64.94,2.02,2.28,80.0,80.0
0681973_dd057b1_ligand_2,-60.56,0.9,0.78,80.0,80.0
0681973_dd057b1_complex_2,-62.77,1.78,1.66,80.0,80.0
0681973_dd057b1_ligand_3,-58.95,0.91,0.84,80.0,80.0
0681973_dd057b1_complex_3,-61.58,11.87,3.81,51.0,80.0
bc7848a_dd057b1_ligand_1,129.89,0.78,0.9,80.0,80.0
bc7848a_dd057b1_complex_1,121.7,2.33,2.86,80.0,80.0
bc7848a_dd057b1_ligand_2,129.3,0.74,0.84,80.0,80.0
