,val,err_analyt,err_boot,framesA,framesB
c6946e5_ec190fe_complex_1,7.66,0.28,0.3,79.0,79.0
c6946e5_ec190fe_ligand_1,5.07,0.87,0.7,79.0,79.0
c6946e5_ec190fe_complex_2,9.17,0.26,0.28,79.0,79.0
c6946e5_ec190fe_ligand_2,3.91,0.91,1.17,79.0,79.0
c6946e5_ec190fe_complex_3,8.06,0.33,0.35,79.0,79.0
c6946e5_ec190fe_ligand_3,5.28,0.95,0.93,79.0,79.0
2e7d67a_c6946e5_complex_1,131.08,0.51,0.56,79.0,78.0
2e7d67a_c6946e5_ligand_1,139.72,0.31,0.32,79.0,79.0
2e7d67a_c6946e5_complex_2,135.61,0.63,0.34,79.0,79.0
2e7d67a_c6946e5_ligand_2,140.31,0.3,0.28,79.0,79.0
2e7d67a_c6946e5_complex_3,135.12,0.49,0.51,79.0,79.0
2e7d67a_c6946e5_ligand_3,140.73,0.33,0.31,79.0,79.0
a49ff60_c6946e5_complex_1,-30.46,1.0,0.76,79.0,79.0
a49ff60_c6946e5_ligand_1,-22.01,0.29,0.37,79.0,79.0
a49ff60_c6946e5_complex_2,-31.99,0.77,0.98,79.0,79.0
a49ff60_c6946e5_ligand_2,-18.76,0.33,0.32,79.0,79.0
a49ff60_c6946e5_complex_3,-34.56,1.25,1.0,79.0,79.0
a49ff60_c6946e5_ligand_3,-22.49,0.31,0.37,79.0,79.0
67d7385_c6946e5_complex_1,44.6,0.74,0.48,79.0,79.0
67d7385_c6946e5_ligand_1,45.45,0.33,0.3,79.0,79.0
67d7385_c6946e5_complex_2,48.51,0.77,0.6,79.0,79.0
67d7385_c6946e5_ligand_2,46.22,0.3,0.29,79.0,79.0
67d7385_c6946e5_complex_3,42.25,0.9,0.66,79.0,79.0
67d7385_c6946e5_ligand_3,46.16,0.29,0.28,79.0,79.0
06fb0e5_2e7d67a_complex_1,-151.69,1.01,1.04,79.0,79.0
06fb0e5_2e7d67a_ligand_1,-151.69,0.77,0.74,79.0,79.0
06fb0e5_2e7d67a_complex_2,-152.68,1.13,1.08,79.0,79.0
06fb0e5_2e7d67a_ligand_2,-152.16,1.05,1.12,79.0,79.0
06fb0e5_2e7d67a_complex_3,-144.21,1.51,2.02,79.0,78.0
06fb0e5_2e7d67a_ligand_3,-154.1,1.01,0.68,79.0,79.0
06fb0e5_3cb0917_complex_1,-546.39,2.32,3.2,79.0,79.0
06fb0e5_3cb0917_ligand_1,-551.24,2.61,3.08,79.0,79.0
06fb0e5_3cb0917_complex_2,-541.96,3.19,1.85,79.0,78.0
06fb0e5_3cb0917_ligand_2,-548.1,1.58,1.66,79.0,79.0
06fb0e5_3cb0917_complex_3,-538.85,1.81,1.63,78.0,79.0
06fb0e5_3cb0917_ligand_3,-549.92,2.31,1.62,79.0,79.0
3cb0917_ec190fe_complex_1,522.54,84.88,0.84,78.0,78.0
3cb0917_ec190fe_ligand_1,541.18,0.93,1.17,79.0,79.0
3cb0917_ec190fe_complex_2,524.87,6.51,1.85,78.0,78.0
3cb0917_ec190fe_ligand_2,542.38,1.67,1.08,79.0,79.0
3cb0917_ec190fe_complex_3,521.31,1.33,1.5,78.0,78.0
3cb0917_ec190fe_ligand_3,544.97,0.81,0.81,79.0,79.0
ec190fe_f895b60_complex_1,-69.92,1.08,0.82,78.0,78.0
ec190fe_f895b60_ligand_1,-69.35,0.67,0.68,79.0,79.0
ec190fe_f895b60_complex_2,-72.56,0.95,1.04,78.0,78.0
ec190fe_f895b60_ligand_2,-68.02,0.51,0.59,79.0,79.0
ec190fe_f895b60_complex_3,-73.38,1.26,0.93,79.0,78.0
ec190fe_f895b60_ligand_3,-70.2,0.53,0.47,79.0,79.0
06c56c5_ec190fe_complex_1,-46.31,0.43,0.56,78.0,78.0
06c56c5_ec190fe_ligand_1,-48.03,0.27,0.27,79.0,79.0
06c56c5_ec190fe_complex_2,-47.07,0.54,0.6,79.0,79.0
06c56c5_ec190fe_ligand_2,-47.86,0.28,0.28,79.0,79.0
06c56c5_ec190fe_complex_3,-48.72,0.46,0.41,79.0,79.0
06c56c5_ec190fe_ligand_3,-47.38,0.31,0.33,79.0,79.0
396f6c0_ec190fe_complex_1,434.75,1.22,1.12,79.0,79.0
396f6c0_ec190fe_ligand_1,428.67,0.64,0.52,79.0,79.0
396f6c0_ec190fe_complex_2,425.9,1.07,0.89,79.0,79.0
396f6c0_ec190fe_ligand_2,428.62,0.62,0.51,79.0,79.0
396f6c0_ec190fe_complex_3,427.6,1.22,1.34,79.0,79.0
396f6c0_ec190fe_ligand_3,427.92,0.76,0.77,79.0,79.0
932532b_ec190fe_complex_1,-1.18,1.19,0.95,79.0,79.0
932532b_ec190fe_ligand_1,-1.56,0.35,0.29,79.0,79.0
932532b_ec190fe_complex_2,1.8,1.07,0.83,79.0,79.0
932532b_ec190fe_ligand_2,-1.26,0.34,0.33,79.0,79.0
932532b_ec190fe_complex_3,-2.02,1.97,0.82,79.0,79.0
932532b_ec190fe_ligand_3,-0.93,0.34,0.39,79.0,79.0
bc7848a_ec190fe_complex_1,123.89,0.51,0.53,79.0,79.0
bc7848a_ec190fe_ligand_1,123.42,0.36,0.33,79.0,79.0
bc7848a_ec190fe_complex_2,122.78,0.68,0.6,79.0,79.0
bc7848a_ec190fe_ligand_2,122.82,0.33,0.33,79.0,79.0
bc7848a_ec190fe_complex_3,124.46,0.52,0.39,79.0,79.0
bc7848a_ec190fe_ligand_3,123.7,0.33,0.34,79.0,79.0
2e7d67a_9e11dad_complex_1,241.23,2.23,3.4,79.0,79.0
2e7d67a_9e11dad_ligand_1,226.05,0.72,0.8,79.0,79.0
2e7d67a_9e11dad_complex_2,241.56,6.66,1.75,79.0,79.0
2e7d67a_9e11dad_ligand_2,233.66,0.93,0.97,79.0,79.0
2e7d67a_9e11dad_complex_3,244.91,11.88,3.34,79.0,79.0
2e7d67a_9e11dad_ligand_3,222.82,0.92,0.93,79.0,79.0
2e7d67a_dd057b1_complex_1,161.39,2.3,1.89,79.0,79.0
2e7d67a_dd057b1_ligand_1,168.16,0.66,0.7,79.0,79.0
2e7d67a_dd057b1_complex_2,160.48,2.36,1.89,79.0,79.0
2e7d67a_dd057b1_ligand_2,166.8,0.68,0.63,79.0,79.0
2e7d67a_dd057b1_complex_3,160.17,1.58,0.72,79.0,79.0
2e7d67a_dd057b1_ligand_3,166.35,0.74,0.74,79.0,79.0
151d931_2e7d67a_complex_1,-55.98,0.5,0.43,79.0,79.0
151d931_2e7d67a_ligand_1,-57.22,0.27,0.3,79.0,79.0
151d931_2e7d67a_complex_2,-52.11,0.44,0.4,79.0,79.0
151d931_2e7d67a_ligand_2,-57.58,0.28,0.31,79.0,79.0
