,val,err_analyt,err_boot,framesA,framesB
c6946e5_ec190fe_complex_1,5.59,0.24,0.28,79.0,79.0
c6946e5_ec190fe_ligand_1,1.56,0.25,0.25,79.0,79.0
c6946e5_ec190fe_complex_2,4.42,0.22,0.22,79.0,79.0
c6946e5_ec190fe_ligand_2,1.11,0.23,0.24,79.0,79.0
c6946e5_ec190fe_complex_3,5.66,0.28,0.32,79.0,79.0
c6946e5_ec190fe_ligand_3,1.08,0.25,0.26,79.0,79.0
2e7d67a_c6946e5_complex_1,137.78,0.67,0.47,79.0,79.0
2e7d67a_c6946e5_ligand_1,140.57,0.29,0.31,79.0,79.0
2e7d67a_c6946e5_complex_2,140.91,0.34,0.37,79.0,79.0
2e7d67a_c6946e5_ligand_2,140.6,0.33,0.33,79.0,79.0
2e7d67a_c6946e5_complex_3,138.79,0.67,0.58,79.0,79.0
2e7d67a_c6946e5_ligand_3,139.95,0.31,0.34,79.0,79.0
a49ff60_c6946e5_complex_1,-21.04,0.52,0.48,79.0,79.0
a49ff60_c6946e5_ligand_1,-19.42,0.34,0.33,79.0,79.0
a49ff60_c6946e5_complex_2,-20.05,1.1,0.78,79.0,79.0
a49ff60_c6946e5_ligand_2,-19.09,0.33,0.33,79.0,79.0
a49ff60_c6946e5_complex_3,-19.72,0.84,0.72,79.0,79.0
a49ff60_c6946e5_ligand_3,-19.21,0.35,0.32,79.0,79.0
67d7385_c6946e5_complex_1,53.16,0.58,0.57,79.0,79.0
67d7385_c6946e5_ligand_1,46.18,0.36,0.37,79.0,79.0
67d7385_c6946e5_complex_2,52.55,1.35,0.89,79.0,79.0
67d7385_c6946e5_ligand_2,46.41,0.33,0.33,79.0,79.0
67d7385_c6946e5_complex_3,54.69,0.58,0.49,79.0,79.0
67d7385_c6946e5_ligand_3,46.1,0.35,0.38,79.0,79.0
06fb0e5_2e7d67a_complex_1,-147.31,5.49,0.81,79.0,79.0
06fb0e5_2e7d67a_ligand_1,-152.0,0.52,0.59,79.0,79.0
06fb0e5_2e7d67a_complex_2,-139.63,1.46,1.08,79.0,79.0
06fb0e5_2e7d67a_ligand_2,-151.05,0.91,0.72,79.0,79.0
06fb0e5_2e7d67a_complex_3,-147.09,1.63,1.16,79.0,79.0
06fb0e5_2e7d67a_ligand_3,-147.43,0.78,0.79,79.0,79.0
06fb0e5_3cb0917_complex_1,-514.31,1.44,1.14,79.0,79.0
06fb0e5_3cb0917_ligand_1,-522.69,0.39,0.39,79.0,79.0
06fb0e5_3cb0917_complex_2,-517.65,1.03,1.16,79.0,79.0
06fb0e5_3cb0917_ligand_2,-522.17,0.38,0.4,79.0,79.0
06fb0e5_3cb0917_complex_3,-519.09,1.33,0.82,79.0,79.0
06fb0e5_3cb0917_ligand_3,-515.84,1.02,0.68,79.0,79.0
3cb0917_ec190fe_complex_1,510.52,2.14,2.38,79.0,79.0
3cb0917_ec190fe_ligand_1,516.09,0.99,1.1,79.0,79.0
3cb0917_ec190fe_complex_2,508.29,5.57,2.46,79.0,79.0
3cb0917_ec190fe_ligand_2,515.33,0.87,0.75,79.0,79.0
3cb0917_ec190fe_complex_3,486.65,2.75,1.01,79.0,79.0
3cb0917_ec190fe_ligand_3,512.05,1.49,0.9,79.0,79.0
ec190fe_f895b60_complex_1,-66.8,1.11,1.2,79.0,79.0
ec190fe_f895b60_ligand_1,-65.54,0.6,0.6,79.0,79.0
ec190fe_f895b60_complex_2,-68.34,1.13,0.97,79.0,79.0
ec190fe_f895b60_ligand_2,-66.23,0.57,0.59,79.0,79.0
ec190fe_f895b60_complex_3,-70.48,1.67,1.83,79.0,79.0
ec190fe_f895b60_ligand_3,-64.64,0.6,0.61,79.0,79.0
06c56c5_ec190fe_complex_1,-49.63,0.68,0.7,79.0,79.0
06c56c5_ec190fe_ligand_1,-50.68,0.26,0.23,79.0,79.0
06c56c5_ec190fe_complex_2,-47.6,0.9,0.74,79.0,79.0
06c56c5_ec190fe_ligand_2,-50.85,0.26,0.24,79.0,79.0
06c56c5_ec190fe_complex_3,-46.74,0.95,0.96,79.0,79.0
06c56c5_ec190fe_ligand_3,-50.9,0.29,0.31,79.0,79.0
396f6c0_ec190fe_complex_1,432.51,2.14,1.46,79.0,79.0
396f6c0_ec190fe_ligand_1,426.9,0.66,0.6,79.0,79.0
396f6c0_ec190fe_complex_2,425.27,1.31,1.29,79.0,79.0
396f6c0_ec190fe_ligand_2,425.54,0.59,0.46,79.0,79.0
396f6c0_ec190fe_complex_3,425.09,1.88,1.53,79.0,79.0
396f6c0_ec190fe_ligand_3,425.71,0.64,0.71,79.0,79.0
932532b_ec190fe_complex_1,-48.15,0.47,0.5,79.0,79.0
932532b_ec190fe_ligand_1,-51.36,0.35,0.36,79.0,79.0
932532b_ec190fe_complex_2,-49.42,0.48,0.49,79.0,79.0
932532b_ec190fe_ligand_2,-51.47,0.36,0.39,79.0,79.0
932532b_ec190fe_complex_3,-46.61,0.91,0.71,79.0,79.0
932532b_ec190fe_ligand_3,-51.97,0.29,0.27,79.0,79.0
bc7848a_ec190fe_complex_1,118.9,0.53,0.51,79.0,79.0
bc7848a_ec190fe_ligand_1,119.57,0.3,0.28,79.0,79.0
bc7848a_ec190fe_complex_2,120.02,0.51,0.45,79.0,79.0
bc7848a_ec190fe_ligand_2,119.8,0.33,0.32,79.0,79.0
bc7848a_ec190fe_complex_3,119.9,0.47,0.42,79.0,79.0
bc7848a_ec190fe_ligand_3,119.49,0.3,0.29,79.0,79.0
2e7d67a_9e11dad_complex_1,244.77,3.04,3.07,79.0,79.0
2e7d67a_9e11dad_ligand_1,227.29,0.88,0.95,79.0,79.0
