,val,err_analyt,err_boot,framesA,framesB
0ed8de8_6ba0f73_ligand_1,-67.16,1.37,1.23,80.0,80.0
0ed8de8_6ba0f73_complex_1,-69.82,1.38,1.41,79.0,80.0
0ed8de8_6ba0f73_ligand_2,-68.51,1.58,0.83,79.0,80.0
0ed8de8_6ba0f73_complex_2,-71.11,1.24,1.06,79.0,80.0
0ed8de8_6ba0f73_ligand_3,-68.39,1.13,1.2,79.0,79.0
0ed8de8_6ba0f73_complex_3,-66.8,1.4,1.34,80.0,79.0
0ed8de8_c2be211_ligand_1,23.8,0.88,0.74,17.0,26.0
0ed8de8_c2be211_complex_1,26.2,1.32,1.63,27.0,27.0
0ed8de8_c2be211_ligand_2,28.87,1.79,1.03,24.0,17.0
0ed8de8_c2be211_complex_2,22.37,0.87,0.96,12.0,20.0
0ed8de8_c2be211_ligand_3,30.04,2.66,1.12,11.0,19.0
0ed8de8_c2be211_complex_3,22.16,0.84,0.85,21.0,22.0
0ed8de8_c393e3b_ligand_1,-134.64,1.33,1.09,80.0,80.0
0ed8de8_c393e3b_complex_1,-131.66,2.0,1.04,80.0,80.0
0ed8de8_c393e3b_ligand_2,-132.71,1.28,0.88,80.0,80.0
0ed8de8_c393e3b_complex_2,-135.04,2.02,1.88,80.0,80.0
0ed8de8_c393e3b_ligand_3,-136.07,1.25,1.31,80.0,80.0
0ed8de8_c393e3b_complex_3,-141.27,2.92,1.0,80.0,80.0
0ed8de8_de3b443_ligand_1,-451.01,1.44,1.32,79.0,80.0
0ed8de8_de3b443_complex_1,-455.71,2.67,2.85,80.0,79.0
0ed8de8_de3b443_ligand_2,-447.13,1.33,1.37,79.0,80.0
0ed8de8_de3b443_complex_2,-446.91,1.82,1.48,79.0,80.0
0ed8de8_de3b443_ligand_3,-446.07,1.72,1.43,79.0,80.0
0ed8de8_de3b443_complex_3,-450.74,4.04,1.33,79.0,79.0
3ec440a_a367385_ligand_1,-520.49,1.4,1.16,80.0,80.0
3ec440a_a367385_complex_1,-523.68,0.92,0.62,80.0,80.0
3ec440a_a367385_ligand_2,-522.37,1.24,1.08,80.0,80.0
3ec440a_a367385_complex_2,-524.16,0.71,0.7,80.0,80.0
3ec440a_a367385_ligand_3,-522.41,1.15,0.83,80.0,80.0
3ec440a_a367385_complex_3,-520.63,0.68,0.83,80.0,80.0
04fe595_3ec440a_ligand_1,77.55,0.51,0.47,80.0,80.0
04fe595_3ec440a_complex_1,77.06,0.77,0.85,80.0,80.0
04fe595_3ec440a_ligand_2,79.45,0.58,0.51,80.0,80.0
04fe595_3ec440a_complex_2,74.88,0.82,0.8,79.0,80.0
04fe595_3ec440a_ligand_3,78.48,0.56,0.6,80.0,80.0
04fe595_3ec440a_complex_3,78.63,0.9,0.64,80.0,80.0
04fe595_a367385_ligand_1,-440.19,0.64,0.91,80.0,80.0
04fe595_a367385_complex_1,-442.77,0.88,0.69,80.0,80.0
04fe595_a367385_ligand_2,-444.56,0.73,0.69,80.0,80.0
04fe595_a367385_complex_2,-447.64,0.63,0.74,80.0,79.0
04fe595_a367385_ligand_3,-444.8,0.68,0.77,80.0,80.0
04fe595_a367385_complex_3,-448.2,1.07,0.97,80.0,80.0
a367385_b3bcd3f_ligand_1,435.29,1.17,1.01,80.0,80.0
a367385_b3bcd3f_complex_1,437.82,1.17,1.42,80.0,80.0
a367385_b3bcd3f_ligand_2,439.66,1.02,0.82,80.0,80.0
a367385_b3bcd3f_complex_2,444.45,3.45,0.91,80.0,80.0
a367385_b3bcd3f_ligand_3,437.56,1.09,0.97,80.0,80.0
a367385_b3bcd3f_complex_3,443.98,1.79,2.14,80.0,80.0
6fe2d9e_927ccc4_ligand_1,-167.06,1.17,1.2,80.0,80.0
6fe2d9e_927ccc4_complex_1,-170.13,1.35,1.02,80.0,80.0
6fe2d9e_927ccc4_ligand_2,-168.58,1.17,1.22,80.0,80.0
6fe2d9e_927ccc4_complex_2,-172.19,1.24,1.22,80.0,80.0
6fe2d9e_927ccc4_ligand_3,-171.06,1.01,0.94,80.0,80.0
6fe2d9e_927ccc4_complex_3,-174.66,1.47,1.22,80.0,80.0
927ccc4_b3bcd3f_ligand_1,338.04,1.79,1.2,80.0,80.0
927ccc4_b3bcd3f_complex_1,333.96,2.27,1.76,80.0,80.0
927ccc4_b3bcd3f_ligand_2,338.86,2.15,0.78,80.0,80.0
927ccc4_b3bcd3f_complex_2,336.94,2.29,2.26,80.0,80.0
927ccc4_b3bcd3f_ligand_3,337.51,2.65,1.5,80.0,79.0
927ccc4_b3bcd3f_complex_3,343.82,1.92,1.75,80.0,80.0
6ba0f73_b3bcd3f_ligand_1,61.38,0.89,1.02,80.0,80.0
6ba0f73_b3bcd3f_complex_1,61.54,0.84,0.75,80.0,80.0
6ba0f73_b3bcd3f_ligand_2,61.07,0.96,0.65,80.0,80.0
6ba0f73_b3bcd3f_complex_2,58.2,1.39,1.0,80.0,80.0
6ba0f73_b3bcd3f_ligand_3,60.02,0.94,0.77,80.0,80.0
6ba0f73_b3bcd3f_complex_3,60.08,1.29,1.09,80.0,80.0
73b9800_7d66997_ligand_1,303.23,0.99,0.51,80.0,80.0
73b9800_7d66997_complex_1,289.47,3.87,0.8,80.0,80.0
73b9800_7d66997_ligand_2,301.93,0.92,0.86,80.0,80.0
73b9800_7d66997_complex_2,297.77,1.57,1.25,80.0,80.0
73b9800_7d66997_ligand_3,302.81,0.82,0.67,80.0,80.0
73b9800_7d66997_complex_3,294.26,1.27,1.19,80.0,80.0
73b9800_de3b443_ligand_1,257.06,1.16,0.94,80.0,80.0
73b9800_de3b443_complex_1,244.16,2.16,1.79,80.0,80.0
73b9800_de3b443_ligand_2,256.48,1.14,1.05,80.0,80.0
73b9800_de3b443_complex_2,244.46,2.38,2.42,80.0,80.0
73b9800_de3b443_ligand_3,255.17,1.26,1.19,80.0,80.0
73b9800_de3b443_complex_3,245.37,2.82,3.28,80.0,80.0
7d66997_c2be211_complex_3,340.07,1.0540825214748686e+27,0.0,1.0,1.0
6fe2d9e_7d66997_ligand_1,-214.52,1.21,1.51,79.0,80.0
6fe2d9e_7d66997_complex_1,-216.62,82.85,2.54,80.0,80.0
6fe2d9e_7d66997_ligand_2,-213.97,1.09,1.19,80.0,80.0
6fe2d9e_7d66997_complex_2,-237.21,58.01,1.17,80.0,80.0
6fe2d9e_7d66997_ligand_3,-215.08,1.02,0.84,80.0,80.0
6fe2d9e_7d66997_complex_3,-212.36,1.45,1.21,80.0,80.0
6fe2d9e_f1ee6df_ligand_1,-286.16,1.35,0.78,80.0,80.0
6fe2d9e_f1ee6df_complex_1,-298.06,56.11,3.43,80.0,80.0
6fe2d9e_f1ee6df_ligand_2,-285.1,1.05,0.96,80.0,80.0
6fe2d9e_f1ee6df_complex_2,-283.75,5.97,2.22,80.0,80.0
6fe2d9e_f1ee6df_ligand_3,-283.9,2.15,1.97,80.0,80.0
6fe2d9e_f1ee6df_complex_3,-286.64,136.56,2.28,80.0,80.0
4b46bf2_c393e3b_ligand_1,-142.99,0.64,0.71,80.0,80.0
4b46bf2_c393e3b_complex_1,-143.84,0.62,0.6,80.0,80.0
4b46bf2_c393e3b_ligand_2,-142.58,0.76,0.77,80.0,80.0
4b46bf2_c393e3b_complex_2,-142.22,0.73,0.69,80.0,80.0
4b46bf2_c393e3b_ligand_3,-143.0,0.61,0.65,80.0,80.0
4b46bf2_c393e3b_complex_3,-145.09,1.5,1.3,80.0,80.0
04fe595_4b46bf2_ligand_1,-6.2,0.28,0.3,80.0,80.0
04fe595_4b46bf2_complex_1,-5.57,0.28,0.27,80.0,80.0
04fe595_4b46bf2_ligand_2,-5.01,0.31,0.28,79.0,80.0
04fe595_4b46bf2_complex_2,-4.5,0.37,0.38,80.0,80.0
04fe595_4b46bf2_ligand_3,-5.1,0.28,0.3,80.0,80.0
04fe595_4b46bf2_complex_3,-5.55,0.29,0.27,80.0,80.0
4b46bf2_de3b443_ligand_1,-452.46,1.65,1.51,80.0,80.0
4b46bf2_de3b443_complex_1,-484.06,947.28,2.68,80.0,80.0
4b46bf2_de3b443_ligand_2,-453.03,1.98,2.35,80.0,80.0
4b46bf2_de3b443_complex_2,-477.36,88.13,2.79,80.0,80.0
4b46bf2_de3b443_ligand_3,-455.58,2.28,1.36,80.0,80.0
4b46bf2_de3b443_complex_3,-468.61,21.65,3.52,80.0,80.0
8c54db8_c393e3b_ligand_1,-210.09,1.0,0.63,80.0,80.0
8c54db8_c393e3b_complex_1,-205.97,0.52,0.57,80.0,80.0
8c54db8_c393e3b_ligand_2,-208.78,1.06,0.81,80.0,80.0
8c54db8_c393e3b_complex_2,-206.29,0.69,0.74,80.0,80.0
8c54db8_c393e3b_ligand_3,-209.04,0.93,0.72,80.0,80.0
8c54db8_c393e3b_complex_3,-208.44,0.48,0.42,80.0,80.0
8c54db8_c964e05_ligand_1,-45.91,0.52,0.53,80.0,80.0
8c54db8_c964e05_complex_1,-48.9,0.63,0.6,80.0,80.0
8c54db8_c964e05_ligand_2,-46.78,0.61,0.55,80.0,80.0
8c54db8_c964e05_complex_2,-46.85,0.83,0.93,80.0,80.0
8c54db8_c964e05_ligand_3,-46.53,0.53,0.5,80.0,80.0
8c54db8_c964e05_complex_3,-47.73,0.69,0.54,80.0,80.0
39ca6aa_8c54db8_ligand_1,472.99,2.18,2.05,80.0,80.0
39ca6aa_8c54db8_complex_1,464.29,3.06,2.51,80.0,80.0
39ca6aa_8c54db8_ligand_2,471.75,2.77,0.99,80.0,80.0
39ca6aa_8c54db8_complex_2,465.25,36.71,1.67,80.0,80.0
39ca6aa_8c54db8_ligand_3,472.9,2.14,2.25,80.0,80.0
39ca6aa_8c54db8_complex_3,469.31,5.46,4.06,80.0,80.0
235bba4_8c54db8_ligand_1,130.79,0.62,0.61,80.0,80.0
235bba4_8c54db8_complex_1,132.9,1.0,0.85,80.0,80.0
235bba4_8c54db8_ligand_2,128.9,0.56,0.53,80.0,80.0
235bba4_8c54db8_complex_2,125.78,0.5,0.58,80.0,80.0
235bba4_8c54db8_ligand_3,129.6,0.69,0.72,80.0,80.0
235bba4_8c54db8_complex_3,128.14,0.5,0.58,80.0,80.0
8c54db8_b3bcd3f_ligand_1,-83.08,0.51,0.47,80.0,80.0
8c54db8_b3bcd3f_complex_1,-81.87,0.42,0.44,80.0,80.0
8c54db8_b3bcd3f_ligand_2,-82.39,0.7,0.67,80.0,80.0
8c54db8_b3bcd3f_complex_2,-83.45,0.34,0.34,80.0,80.0
8c54db8_b3bcd3f_ligand_3,-82.05,0.61,0.62,80.0,80.0
8c54db8_b3bcd3f_complex_3,-82.4,0.33,0.27,80.0,80.0
7d66997_b3bcd3f_ligand_1,389.89,1.32,1.23,80.0,79.0
7d66997_b3bcd3f_complex_1,399.15,4.29,3.17,80.0,80.0
7d66997_b3bcd3f_ligand_2,389.6,2.04,1.22,80.0,80.0
7d66997_b3bcd3f_complex_2,384.9,2.43,2.11,80.0,80.0
7d66997_b3bcd3f_ligand_3,389.54,2.57,1.47,80.0,80.0
7d66997_b3bcd3f_complex_3,387.65,2.74,2.71,80.0,80.0
38c8fbf_e8ba317_ligand_1,138.28,1.23,1.06,75.0,80.0
