,val,err_analyt,err_boot,framesA,framesB
0ed8de8_6ba0f73_complex_1,-56.89,0.66,0.57,79.0,79.0
0ed8de8_6ba0f73_ligand_1,-56.53,0.64,0.63,79.0,78.0
0ed8de8_6ba0f73_complex_2,-51.86,2.17,1.37,79.0,78.0
0ed8de8_6ba0f73_ligand_2,-55.25,0.67,0.63,79.0,78.0
0ed8de8_6ba0f73_complex_3,-49.78,1.85,1.27,78.0,79.0
0ed8de8_6ba0f73_ligand_3,-55.3,0.62,0.61,79.0,79.0
0ed8de8_c2be211_complex_1,29.59,2.89,0.76,11.0,28.0
0ed8de8_c2be211_ligand_1,30.76,2.66,0.81,19.0,16.0
0ed8de8_c2be211_complex_2,26.59,1.4,1.01,23.0,24.0
0ed8de8_c2be211_ligand_2,22.19,0.76,0.98,20.0,26.0
0ed8de8_c2be211_complex_3,24.31,1.14,1.2,19.0,21.0
0ed8de8_c2be211_ligand_3,28.11,1.98,1.25,18.0,19.0
0ed8de8_c393e3b_complex_1,-135.39,1.85,1.66,79.0,79.0
0ed8de8_c393e3b_ligand_1,-130.18,1.01,0.85,79.0,79.0
0ed8de8_c393e3b_complex_2,-129.55,1.2,1.47,79.0,79.0
0ed8de8_c393e3b_ligand_2,-128.33,1.3,1.2,79.0,79.0
0ed8de8_c393e3b_complex_3,-133.74,1.07,1.12,79.0,79.0
0ed8de8_c393e3b_ligand_3,-127.37,0.84,0.79,79.0,79.0
0ed8de8_de3b443_complex_1,-422.85,1.48,1.66,79.0,78.0
0ed8de8_de3b443_ligand_1,-423.15,1.42,1.07,78.0,79.0
0ed8de8_de3b443_complex_2,-431.94,2.82,2.25,79.0,79.0
0ed8de8_de3b443_ligand_2,-425.88,1.13,0.96,79.0,79.0
0ed8de8_de3b443_complex_3,-423.12,1.61,1.35,78.0,79.0
0ed8de8_de3b443_ligand_3,-425.43,1.22,1.56,78.0,79.0
3ec440a_a367385_complex_1,-528.38,1.65,0.71,79.0,79.0
3ec440a_a367385_ligand_1,-522.72,1.34,1.33,79.0,79.0
3ec440a_a367385_complex_2,-519.68,0.82,0.74,79.0,79.0
3ec440a_a367385_ligand_2,-522.19,1.02,1.14,79.0,79.0
3ec440a_a367385_complex_3,-525.06,1.13,0.74,79.0,79.0
3ec440a_a367385_ligand_3,-524.84,1.19,0.94,79.0,79.0
04fe595_3ec440a_complex_1,76.41,0.81,0.64,79.0,79.0
04fe595_3ec440a_ligand_1,78.2,0.52,0.48,79.0,79.0
04fe595_3ec440a_complex_2,77.26,0.57,0.64,79.0,79.0
04fe595_3ec440a_ligand_2,77.42,0.61,0.74,79.0,78.0
04fe595_3ec440a_complex_3,79.66,0.69,0.63,79.0,79.0
04fe595_3ec440a_ligand_3,77.67,0.52,0.6,79.0,79.0
04fe595_a367385_complex_1,-443.94,0.82,0.79,79.0,79.0
04fe595_a367385_ligand_1,-443.97,0.8,0.99,79.0,79.0
04fe595_a367385_complex_2,-447.38,0.76,0.97,79.0,79.0
04fe595_a367385_ligand_2,-445.13,0.64,0.61,79.0,79.0
04fe595_a367385_complex_3,-449.48,0.89,1.0,79.0,79.0
04fe595_a367385_ligand_3,-447.62,0.99,0.86,79.0,79.0
a367385_b3bcd3f_complex_1,445.56,4.3,0.95,79.0,79.0
a367385_b3bcd3f_ligand_1,438.26,1.37,1.51,79.0,79.0
a367385_b3bcd3f_complex_2,447.61,2.73,1.48,79.0,79.0
a367385_b3bcd3f_ligand_2,437.3,1.51,0.85,79.0,79.0
a367385_b3bcd3f_complex_3,443.62,2.63,0.66,79.0,79.0
a367385_b3bcd3f_ligand_3,438.15,1.12,0.98,79.0,79.0
6fe2d9e_927ccc4_complex_1,-236.71,2.32,0.86,79.0,79.0
6fe2d9e_927ccc4_ligand_1,-241.83,1.4,1.13,79.0,79.0
6fe2d9e_927ccc4_complex_2,-237.23,2.94,3.31,79.0,78.0
6fe2d9e_927ccc4_ligand_2,-246.07,1.58,0.98,79.0,79.0
6fe2d9e_927ccc4_complex_3,-235.82,4.67,1.28,79.0,79.0
6fe2d9e_927ccc4_ligand_3,-242.73,1.44,1.33,79.0,79.0
927ccc4_b3bcd3f_complex_1,405.16,2.59,1.59,79.0,79.0
927ccc4_b3bcd3f_ligand_1,409.8,1.97,2.14,79.0,79.0
927ccc4_b3bcd3f_complex_2,409.73,4.54,4.18,79.0,79.0
927ccc4_b3bcd3f_ligand_2,412.1,1.94,1.89,79.0,79.0
927ccc4_b3bcd3f_complex_3,406.71,3.77,1.05,79.0,79.0
927ccc4_b3bcd3f_ligand_3,412.15,2.1,1.87,79.0,79.0
6ba0f73_b3bcd3f_complex_1,48.56,1.05,1.09,79.0,79.0
6ba0f73_b3bcd3f_ligand_1,47.38,0.81,0.84,79.0,79.0
6ba0f73_b3bcd3f_complex_2,48.29,1.76,1.79,79.0,79.0
6ba0f73_b3bcd3f_ligand_2,48.6,0.76,0.79,79.0,79.0
6ba0f73_b3bcd3f_complex_3,44.41,1.13,0.97,79.0,79.0
6ba0f73_b3bcd3f_ligand_3,50.44,0.88,0.98,79.0,79.0
73b9800_7d66997_complex_1,141.98,1.69,1.18,79.0,79.0
73b9800_7d66997_ligand_1,143.13,0.79,0.66,79.0,79.0
73b9800_7d66997_complex_2,145.03,0.71,0.69,79.0,79.0
73b9800_7d66997_ligand_2,142.82,0.81,0.69,79.0,79.0
73b9800_7d66997_complex_3,146.76,1.01,0.73,79.0,79.0
73b9800_7d66997_ligand_3,144.12,0.96,0.96,79.0,79.0
73b9800_de3b443_complex_1,132.69,1.83,2.27,79.0,79.0
73b9800_de3b443_ligand_1,128.78,0.79,0.77,79.0,79.0
73b9800_de3b443_complex_2,132.45,2.37,1.54,79.0,78.0
73b9800_de3b443_ligand_2,130.8,0.85,0.82,79.0,79.0
73b9800_de3b443_complex_3,129.34,1.56,1.5,78.0,79.0
73b9800_de3b443_ligand_3,128.54,0.77,0.62,79.0,79.0
7d66997_c2be211_complex_2,406.68,8.45071875698462e+33,0.0,1.0,1.0
7d66997_c2be211_complex_3,571.52,3.5840265819386526e+51,0.0,1.0,1.0
6fe2d9e_7d66997_complex_1,-217.78,2.74,1.47,79.0,79.0
6fe2d9e_7d66997_ligand_1,-225.44,1.18,1.05,79.0,79.0
6fe2d9e_7d66997_complex_2,-228.68,9.34,1.15,79.0,79.0
6fe2d9e_7d66997_ligand_2,-223.99,1.02,0.97,79.0,79.0
6fe2d9e_7d66997_complex_3,-224.99,2.82,1.0,79.0,79.0
6fe2d9e_7d66997_ligand_3,-221.53,1.12,1.08,79.0,79.0
6fe2d9e_f1ee6df_complex_1,-369.47,24.7,2.31,79.0,79.0
6fe2d9e_f1ee6df_ligand_1,-370.46,1.24,1.58,79.0,79.0
6fe2d9e_f1ee6df_complex_2,-370.02,51.48,1.89,79.0,79.0
6fe2d9e_f1ee6df_ligand_2,-372.88,1.23,1.15,79.0,79.0
6fe2d9e_f1ee6df_complex_3,-378.05,106.24,4.23,79.0,79.0
6fe2d9e_f1ee6df_ligand_3,-374.74,1.37,0.68,79.0,79.0
4b46bf2_c393e3b_complex_1,-152.16,0.95,0.95,79.0,79.0
4b46bf2_c393e3b_ligand_1,-149.01,0.74,0.7,79.0,79.0
4b46bf2_c393e3b_complex_2,-151.82,1.19,1.37,79.0,79.0
4b46bf2_c393e3b_ligand_2,-149.67,0.87,0.84,79.0,79.0
4b46bf2_c393e3b_complex_3,-154.35,2.03,1.03,79.0,79.0
4b46bf2_c393e3b_ligand_3,-149.29,0.76,0.66,79.0,79.0
04fe595_4b46bf2_complex_1,12.65,0.46,0.49,79.0,79.0
04fe595_4b46bf2_ligand_1,9.3,0.58,0.67,79.0,79.0
04fe595_4b46bf2_complex_2,13.67,0.74,0.66,79.0,79.0
04fe595_4b46bf2_ligand_2,8.39,0.67,0.6,79.0,79.0
04fe595_4b46bf2_complex_3,12.24,0.64,0.54,79.0,79.0
04fe595_4b46bf2_ligand_3,8.9,0.72,0.62,79.0,79.0
4b46bf2_de3b443_complex_1,-447.16,9.68,3.07,79.0,79.0
4b46bf2_de3b443_ligand_1,-444.96,2.19,1.91,79.0,79.0
4b46bf2_de3b443_complex_2,-467.32,118.2,1.2,79.0,79.0
4b46bf2_de3b443_ligand_2,-443.28,1.61,1.17,79.0,79.0
4b46bf2_de3b443_complex_3,-464.43,15.1,2.01,79.0,79.0
4b46bf2_de3b443_ligand_3,-444.03,2.31,2.81,79.0,79.0
8c54db8_c393e3b_complex_1,-206.04,0.84,0.78,79.0,79.0
8c54db8_c393e3b_ligand_1,-204.05,0.63,0.56,79.0,79.0
8c54db8_c393e3b_complex_2,-204.42,0.65,0.67,79.0,79.0
8c54db8_c393e3b_ligand_2,-205.16,0.51,0.49,79.0,79.0
