,val,err_analyt,err_boot,framesA,framesB
0ed8de8_6ba0f73_complex_1,-62.05,0.69,0.61,79.0,76.0
0ed8de8_6ba0f73_ligand_1,-64.82,0.7,0.61,79.0,78.0
0ed8de8_6ba0f73_complex_2,-64.5,0.66,0.75,77.0,79.0
0ed8de8_6ba0f73_ligand_2,-64.77,0.59,0.62,79.0,79.0
0ed8de8_6ba0f73_complex_3,-63.48,0.45,0.42,79.0,79.0
0ed8de8_6ba0f73_ligand_3,-60.76,0.88,0.75,78.0,78.0
0ed8de8_c2be211_complex_1,22.86,5.71,2.85,13.0,15.0
0ed8de8_c2be211_ligand_1,24.97,2.06,1.02,15.0,21.0
0ed8de8_c2be211_complex_2,19.14,4.36,2.07,11.0,21.0
0ed8de8_c2be211_ligand_2,12.02,2.63,2.68,14.0,25.0
0ed8de8_c2be211_complex_3,19.69,12.97,1.56,10.0,18.0
0ed8de8_c2be211_ligand_3,23.28,2.32,2.22,18.0,26.0
0ed8de8_c393e3b_complex_1,-78.72,6.14,1.14,79.0,79.0
0ed8de8_c393e3b_ligand_1,-82.35,3.7,0.94,79.0,79.0
0ed8de8_c393e3b_complex_2,-82.22,5.17,1.47,79.0,79.0
0ed8de8_c393e3b_ligand_2,-83.3,2.96,0.85,79.0,79.0
0ed8de8_c393e3b_complex_3,-90.03,29.87,1.11,79.0,79.0
0ed8de8_c393e3b_ligand_3,-84.25,4.18,0.87,79.0,79.0
0ed8de8_de3b443_complex_1,-420.12,2.13,1.33,76.0,79.0
0ed8de8_de3b443_ligand_1,-416.55,1.89,1.37,79.0,78.0
0ed8de8_de3b443_complex_2,-419.36,3.79,3.57,78.0,79.0
0ed8de8_de3b443_ligand_2,-416.77,1.46,1.48,78.0,78.0
0ed8de8_de3b443_complex_3,-425.96,69.49,1.15,79.0,79.0
0ed8de8_de3b443_ligand_3,-419.43,1.57,1.29,79.0,79.0
3ec440a_a367385_complex_1,-529.0,2.56,2.75,79.0,79.0
3ec440a_a367385_ligand_1,-516.37,0.88,0.84,79.0,79.0
3ec440a_a367385_complex_2,-516.67,1.72,1.01,79.0,79.0
3ec440a_a367385_ligand_2,-519.88,0.86,0.88,79.0,79.0
3ec440a_a367385_complex_3,-519.14,1.41,1.15,79.0,79.0
3ec440a_a367385_ligand_3,-519.23,1.02,0.88,79.0,79.0
04fe595_3ec440a_complex_1,75.85,0.75,0.65,79.0,79.0
04fe595_3ec440a_ligand_1,77.81,0.41,0.45,79.0,79.0
04fe595_3ec440a_complex_2,76.47,0.74,0.8,79.0,79.0
04fe595_3ec440a_ligand_2,76.89,0.47,0.39,79.0,79.0
04fe595_3ec440a_complex_3,74.92,1.06,1.18,79.0,79.0
04fe595_3ec440a_ligand_3,77.44,0.42,0.42,79.0,79.0
04fe595_a367385_complex_1,-441.58,1.56,1.2,79.0,79.0
04fe595_a367385_ligand_1,-444.1,0.99,0.64,79.0,79.0
04fe595_a367385_complex_2,-443.97,1.94,0.85,79.0,79.0
04fe595_a367385_ligand_2,-442.68,1.13,1.15,79.0,79.0
04fe595_a367385_complex_3,-444.29,4.23,2.28,79.0,79.0
04fe595_a367385_ligand_3,-439.07,0.73,0.56,79.0,79.0
a367385_b3bcd3f_complex_1,477.46,1.3,1.49,79.0,79.0
a367385_b3bcd3f_ligand_1,475.05,1.06,0.94,79.0,79.0
a367385_b3bcd3f_complex_2,478.3,0.87,1.0,79.0,79.0
a367385_b3bcd3f_ligand_2,476.56,1.3,1.22,79.0,79.0
a367385_b3bcd3f_complex_3,475.6,0.82,0.71,79.0,79.0
a367385_b3bcd3f_ligand_3,473.62,1.06,1.13,79.0,79.0
6fe2d9e_927ccc4_complex_1,-174.67,29.23,1.07,79.0,79.0
6fe2d9e_927ccc4_ligand_1,-195.19,1.02,0.94,79.0,79.0
6fe2d9e_927ccc4_complex_2,-195.3,3.44,4.58,79.0,79.0
6fe2d9e_927ccc4_ligand_2,-192.26,1.05,1.13,79.0,79.0
6fe2d9e_927ccc4_complex_3,-193.47,8.6,1.79,79.0,79.0
6fe2d9e_927ccc4_ligand_3,-193.53,1.22,0.98,79.0,79.0
927ccc4_b3bcd3f_complex_1,399.74,2.84,2.09,79.0,79.0
927ccc4_b3bcd3f_ligand_1,395.19,2.45,2.43,79.0,79.0
927ccc4_b3bcd3f_complex_2,403.27,3.25,1.94,79.0,79.0
927ccc4_b3bcd3f_ligand_2,402.17,2.52,2.64,79.0,79.0
927ccc4_b3bcd3f_complex_3,401.61,3.14,4.82,79.0,79.0
927ccc4_b3bcd3f_ligand_3,400.41,1.51,1.77,79.0,79.0
6ba0f73_b3bcd3f_complex_1,97.22,1.6,1.28,79.0,79.0
6ba0f73_b3bcd3f_ligand_1,97.6,0.92,1.1,79.0,79.0
6ba0f73_b3bcd3f_complex_2,101.98,1.22,1.26,79.0,79.0
6ba0f73_b3bcd3f_ligand_2,95.75,0.79,0.79,79.0,79.0
6ba0f73_b3bcd3f_complex_3,101.09,1.42,1.56,79.0,79.0
6ba0f73_b3bcd3f_ligand_3,94.57,0.81,1.06,79.0,79.0
73b9800_7d66997_complex_1,172.49,1.86,2.01,79.0,79.0
73b9800_7d66997_ligand_1,174.57,1.06,1.0,79.0,79.0
73b9800_7d66997_complex_2,160.34,37.23,1.92,79.0,79.0
73b9800_7d66997_ligand_2,175.85,1.23,1.75,79.0,79.0
73b9800_7d66997_complex_3,172.38,2.54,1.04,79.0,79.0
73b9800_7d66997_ligand_3,174.06,1.03,0.69,79.0,79.0
73b9800_de3b443_complex_1,221.41,14.27,2.36,79.0,79.0
73b9800_de3b443_ligand_1,213.05,1.06,0.85,79.0,79.0
73b9800_de3b443_complex_2,206.77,3.29,2.45,79.0,79.0
73b9800_de3b443_ligand_2,212.14,1.11,1.31,79.0,79.0
73b9800_de3b443_complex_3,212.7,6.56,2.62,79.0,79.0
73b9800_de3b443_ligand_3,213.41,1.25,1.33,79.0,79.0
7d66997_c2be211_ligand_1,173.98,5.310791077854622e+100,0.0,1.0,1.0
6fe2d9e_7d66997_complex_1,-274.27,3.92,2.92,79.0,79.0
6fe2d9e_7d66997_ligand_1,-279.08,1.6,1.28,79.0,79.0
6fe2d9e_7d66997_complex_2,-287.62,4.32,1.15,79.0,79.0
6fe2d9e_7d66997_ligand_2,-280.16,1.5,1.13,79.0,79.0
6fe2d9e_7d66997_complex_3,-279.06,159.31,0.98,79.0,79.0
6fe2d9e_7d66997_ligand_3,-277.48,1.3,1.2,79.0,79.0
6fe2d9e_f1ee6df_complex_1,-275.65,232.83,6.1,79.0,79.0
6fe2d9e_f1ee6df_ligand_1,-250.24,1.26,1.43,79.0,79.0
6fe2d9e_f1ee6df_complex_2,-249.11,6.89,2.37,79.0,79.0
6fe2d9e_f1ee6df_ligand_2,-248.46,1.27,1.52,79.0,79.0
6fe2d9e_f1ee6df_complex_3,-251.31,8.5,1.63,79.0,79.0
6fe2d9e_f1ee6df_ligand_3,-253.47,1.37,1.77,79.0,79.0
4b46bf2_c393e3b_complex_1,-109.3,0.66,0.56,79.0,79.0
4b46bf2_c393e3b_ligand_1,-109.9,0.67,0.63,79.0,79.0
4b46bf2_c393e3b_complex_2,-107.5,0.75,0.72,79.0,79.0
4b46bf2_c393e3b_ligand_2,-113.28,1.32,0.88,79.0,60.0
4b46bf2_c393e3b_complex_3,-110.1,0.82,0.75,79.0,79.0
4b46bf2_c393e3b_ligand_3,-114.67,1.42,0.6,79.0,56.0
04fe595_4b46bf2_complex_1,14.42,0.7,0.73,79.0,79.0
04fe595_4b46bf2_ligand_1,8.71,0.66,0.64,79.0,79.0
04fe595_4b46bf2_complex_2,12.89,0.79,0.95,79.0,79.0
04fe595_4b46bf2_ligand_2,8.42,0.56,0.63,79.0,79.0
04fe595_4b46bf2_complex_3,10.91,0.64,0.72,79.0,79.0
04fe595_4b46bf2_ligand_3,9.46,0.61,0.46,79.0,79.0
4b46bf2_de3b443_complex_1,-442.18,1.29,1.35,79.0,79.0
4b46bf2_de3b443_ligand_1,-442.33,1.83,1.32,79.0,79.0
4b46bf2_de3b443_complex_2,-454.81,19.53,1.3,79.0,79.0
4b46bf2_de3b443_ligand_2,-443.67,1.49,1.09,79.0,79.0
4b46bf2_de3b443_complex_3,-445.59,2.01,1.73,79.0,79.0
4b46bf2_de3b443_ligand_3,-442.18,3.95,0.8,79.0,79.0
8c54db8_c393e3b_complex_1,-159.43,11.65,1.37,79.0,79.0
8c54db8_c393e3b_ligand_1,-160.61,2.15,0.69,79.0,79.0
8c54db8_c393e3b_complex_2,-155.84,6.39,0.91,79.0,79.0
8c54db8_c393e3b_ligand_2,-159.31,2.62,0.49,79.0,79.0
8c54db8_c393e3b_complex_3,-152.12,6.24,1.88,79.0,79.0
8c54db8_c393e3b_ligand_3,-160.13,2.59,0.98,79.0,79.0
8c54db8_c964e05_complex_1,-43.59,1.32,0.66,79.0,79.0
8c54db8_c964e05_ligand_1,-45.86,0.44,0.46,79.0,79.0
8c54db8_c964e05_complex_2,-46.82,0.81,0.73,79.0,79.0
8c54db8_c964e05_ligand_2,-46.15,0.48,0.46,79.0,79.0
8c54db8_c964e05_complex_3,-48.43,1.3,0.95,79.0,79.0
8c54db8_c964e05_ligand_3,-46.45,0.52,0.43,79.0,79.0
39ca6aa_8c54db8_complex_1,756.24,44.55,4.24,79.0,79.0
39ca6aa_8c54db8_ligand_1,736.71,4.07,1.41,79.0,79.0
39ca6aa_8c54db8_complex_2,736.91,8.1,2.67,79.0,79.0
39ca6aa_8c54db8_ligand_2,741.49,3.01,2.28,79.0,79.0
39ca6aa_8c54db8_complex_3,747.66,35.61,3.75,79.0,79.0
39ca6aa_8c54db8_ligand_3,739.73,2.52,1.59,79.0,79.0
235bba4_8c54db8_complex_1,122.0,0.68,0.67,79.0,79.0
235bba4_8c54db8_ligand_1,125.0,0.74,0.59,79.0,79.0
235bba4_8c54db8_complex_2,124.41,0.65,0.55,79.0,79.0
235bba4_8c54db8_ligand_2,125.74,0.65,0.67,79.0,79.0
235bba4_8c54db8_complex_3,120.77,0.54,0.49,79.0,79.0
235bba4_8c54db8_ligand_3,125.24,0.72,0.55,79.0,79.0
8c54db8_b3bcd3f_complex_1,-42.12,0.27,0.3,79.0,79.0
8c54db8_b3bcd3f_ligand_1,-43.63,0.39,0.4,79.0,79.0
8c54db8_b3bcd3f_complex_2,-42.79,0.27,0.28,79.0,79.0
8c54db8_b3bcd3f_ligand_2,-44.43,0.47,0.51,79.0,79.0
8c54db8_b3bcd3f_complex_3,-41.52,0.38,0.35,79.0,79.0
8c54db8_b3bcd3f_ligand_3,-43.85,0.41,0.36,79.0,79.0
7d66997_b3bcd3f_complex_1,493.44,5.03,1.05,79.0,79.0
7d66997_b3bcd3f_ligand_1,496.94,2.07,1.88,79.0,79.0
7d66997_b3bcd3f_complex_2,505.31,38.02,3.13,79.0,79.0
7d66997_b3bcd3f_ligand_2,490.95,2.32,1.89,79.0,79.0
7d66997_b3bcd3f_complex_3,511.63,1162.43,1.96,79.0,79.0
7d66997_b3bcd3f_ligand_3,495.92,1.86,1.62,79.0,79.0
38c8fbf_e8ba317_complex_1,76.29,42.0,1.71,76.0,79.0
38c8fbf_e8ba317_ligand_1,102.45,1.3,1.45,79.0,79.0
38c8fbf_e8ba317_complex_2,94.74,3.39,2.08,77.0,79.0
38c8fbf_e8ba317_ligand_2,101.58,1.56,1.29,71.0,79.0
38c8fbf_e8ba317_complex_3,88.6,108.24,1.81,77.0,79.0
38c8fbf_e8ba317_ligand_3,99.82,1.29,1.04,77.0,79.0
a66e2ba_e8ba317_complex_1,-134.52,7.66,2.3,79.0,79.0
a66e2ba_e8ba317_ligand_1,-122.81,1.2,1.29,79.0,79.0
a66e2ba_e8ba317_complex_2,-129.9,2.71,1.5,79.0,79.0
a66e2ba_e8ba317_ligand_2,-123.78,1.5,1.39,79.0,79.0
