,val,err_analyt,err_boot,framesA,framesB
0ed8de8_6ba0f73_complex_1,-74.89,1.23,1.17,79.0,79.0
0ed8de8_6ba0f73_ligand_1,-71.7,0.5,0.52,77.0,79.0
0ed8de8_6ba0f73_complex_2,-73.89,1.13,0.94,79.0,77.0
0ed8de8_6ba0f73_ligand_2,-72.3,0.44,0.45,79.0,79.0
0ed8de8_6ba0f73_complex_3,-67.85,1.27,0.83,78.0,78.0
0ed8de8_6ba0f73_ligand_3,-70.95,0.49,0.5,79.0,78.0
0ed8de8_c2be211_complex_1,23.94,18.2,2.5,9.0,26.0
0ed8de8_c2be211_ligand_1,23.66,2.85,1.52,21.0,28.0
0ed8de8_c2be211_complex_2,28.97,41.69,1.76,14.0,29.0
0ed8de8_c2be211_ligand_2,23.42,2.79,1.48,21.0,19.0
0ed8de8_c2be211_complex_3,21.1,2.8,2.36,17.0,18.0
0ed8de8_c2be211_ligand_3,22.91,3.02,1.7,14.0,22.0
0ed8de8_c393e3b_complex_1,-98.54,135.26,1.4,79.0,79.0
0ed8de8_c393e3b_ligand_1,-89.44,2.77,0.92,79.0,79.0
0ed8de8_c393e3b_complex_2,-93.85,23.49,1.24,79.0,79.0
0ed8de8_c393e3b_ligand_2,-89.97,3.15,0.66,79.0,79.0
0ed8de8_c393e3b_complex_3,-71.41,793.52,1.28,79.0,79.0
0ed8de8_c393e3b_ligand_3,-89.18,3.0,0.5,79.0,79.0
0ed8de8_de3b443_ligand_1,-413.64,1.32,1.01,79.0,78.0
0ed8de8_de3b443_ligand_2,-419.28,1.41,1.19,78.0,79.0
0ed8de8_de3b443_ligand_3,-416.08,1.09,1.09,79.0,79.0
3ec440a_a367385_complex_1,-521.03,3.21,1.8,79.0,79.0
3ec440a_a367385_ligand_1,-512.21,0.61,0.71,79.0,79.0
3ec440a_a367385_complex_2,-512.6,2.84,1.6,79.0,79.0
3ec440a_a367385_ligand_2,-513.73,0.77,0.68,79.0,79.0
3ec440a_a367385_complex_3,-513.09,26.42,1.2,79.0,79.0
3ec440a_a367385_ligand_3,-512.99,0.91,1.02,79.0,79.0
04fe595_3ec440a_complex_1,85.54,1.65,2.27,79.0,79.0
04fe595_3ec440a_ligand_1,76.49,0.57,0.5,79.0,79.0
04fe595_3ec440a_complex_2,74.54,1.07,0.97,79.0,79.0
04fe595_3ec440a_ligand_2,77.76,0.61,0.59,79.0,79.0
04fe595_3ec440a_complex_3,75.94,1.52,1.59,79.0,79.0
04fe595_3ec440a_ligand_3,76.99,0.66,0.44,79.0,79.0
04fe595_a367385_complex_1,-444.04,1.8,1.9,79.0,79.0
04fe595_a367385_ligand_1,-439.7,0.63,0.69,79.0,79.0
04fe595_a367385_complex_2,-436.98,2.12,1.96,79.0,79.0
04fe595_a367385_ligand_2,-445.01,0.94,0.93,79.0,79.0
04fe595_a367385_complex_3,-451.56,64.39,2.07,79.0,79.0
04fe595_a367385_ligand_3,-437.85,0.57,0.73,79.0,79.0
a367385_b3bcd3f_complex_1,432.73,18.65,1.73,79.0,79.0
a367385_b3bcd3f_ligand_1,436.75,1.22,0.72,79.0,79.0
a367385_b3bcd3f_complex_2,434.73,8.46,2.67,79.0,79.0
a367385_b3bcd3f_ligand_2,435.68,1.14,0.71,79.0,79.0
a367385_b3bcd3f_complex_3,443.34,8.26,4.73,79.0,79.0
a367385_b3bcd3f_ligand_3,434.79,0.96,0.9,79.0,79.0
6fe2d9e_927ccc4_complex_1,-209.89,6925.47,2.39,79.0,79.0
