,val,err_analyt,err_boot,framesA,framesB
1e0ef00_71d0e6f_complex_1,249.1,1.51,1.86,80.0,80.0
1e0ef00_71d0e6f_ligand_1,258.03,0.8,0.67,80.0,80.0
1e0ef00_71d0e6f_complex_2,243.78,2.31,1.07,80.0,80.0
1e0ef00_71d0e6f_ligand_2,259.7,0.7,0.71,80.0,80.0
1e0ef00_71d0e6f_complex_3,243.31,1.93,1.85,80.0,80.0
1e0ef00_71d0e6f_ligand_3,255.85,0.98,0.76,80.0,80.0
71d0e6f_a500639_complex_1,-187.11,0.97,0.94,80.0,80.0
71d0e6f_a500639_ligand_1,-197.06,0.67,0.49,80.0,80.0
71d0e6f_a500639_complex_2,-187.49,2.0,0.75,80.0,80.0
71d0e6f_a500639_ligand_2,-198.05,0.62,0.43,80.0,80.0
71d0e6f_a500639_complex_3,-193.84,0.77,0.63,80.0,80.0
71d0e6f_a500639_ligand_3,-199.3,0.58,0.56,80.0,80.0
71d0e6f_a3705ce_complex_1,-788.04,1.74,0.81,80.0,80.0
71d0e6f_a3705ce_ligand_1,-775.07,0.41,0.4,80.0,80.0
71d0e6f_a3705ce_complex_2,-776.87,1.2,1.23,80.0,80.0
71d0e6f_a3705ce_ligand_2,-774.96,0.39,0.4,80.0,80.0
71d0e6f_a3705ce_complex_3,-779.34,0.82,0.82,80.0,80.0
71d0e6f_a3705ce_ligand_3,-779.47,0.96,0.85,80.0,80.0
161113a_cd2d776_complex_1,-134.06,0.75,0.7,80.0,80.0
161113a_cd2d776_ligand_1,-128.23,0.84,0.84,80.0,80.0
161113a_cd2d776_complex_2,-120.7,2.2,1.33,80.0,80.0
161113a_cd2d776_ligand_2,-127.09,0.81,0.76,80.0,80.0
161113a_cd2d776_complex_3,-129.77,1.06,0.82,80.0,80.0
161113a_cd2d776_ligand_3,-127.85,0.8,0.92,80.0,80.0
5f80774_cd2d776_complex_1,52.63,1.0,0.66,80.0,80.0
5f80774_cd2d776_ligand_1,55.34,0.43,0.52,80.0,80.0
5f80774_cd2d776_complex_2,51.79,1.34,1.42,80.0,80.0
5f80774_cd2d776_ligand_2,56.1,0.46,0.39,80.0,80.0
5f80774_cd2d776_complex_3,55.64,0.61,0.64,80.0,80.0
5f80774_cd2d776_ligand_3,55.78,0.41,0.38,80.0,80.0
0cd00d5_cd2d776_complex_1,-7.8,1.16,1.06,80.0,80.0
0cd00d5_cd2d776_ligand_1,4.55,0.28,0.27,80.0,80.0
0cd00d5_cd2d776_complex_2,-13.35,1.49,1.25,80.0,80.0
0cd00d5_cd2d776_ligand_2,4.91,0.28,0.27,80.0,80.0
0cd00d5_cd2d776_complex_3,-8.96,1.8,0.92,80.0,80.0
0cd00d5_cd2d776_ligand_3,5.61,0.28,0.25,80.0,80.0
161113a_9352ea3_complex_1,-47.47,0.59,0.81,80.0,80.0
161113a_9352ea3_ligand_1,-45.42,0.74,0.73,80.0,80.0
161113a_9352ea3_complex_2,-48.15,0.61,0.85,80.0,80.0
161113a_9352ea3_ligand_2,-46.98,0.71,0.84,80.0,80.0
161113a_9352ea3_complex_3,-47.51,0.64,0.58,80.0,80.0
161113a_9352ea3_ligand_3,-45.03,0.74,0.85,80.0,80.0
161113a_5295938_complex_1,-30.12,0.29,0.25,80.0,80.0
161113a_5295938_ligand_1,-30.89,0.52,0.55,80.0,80.0
161113a_5295938_complex_2,-30.88,0.27,0.27,80.0,80.0
161113a_5295938_ligand_2,-31.57,0.54,0.43,80.0,80.0
161113a_5295938_complex_3,-31.9,0.3,0.32,80.0,80.0
161113a_5295938_ligand_3,-31.37,0.52,0.47,80.0,80.0
