,val,err_analyt,err_boot,framesA,framesB
1e0ef00_71d0e6f_complex_1,266.48,1.65,1.54,80.0,80.0
1e0ef00_71d0e6f_ligand_1,269.75,0.74,0.67,80.0,80.0
1e0ef00_71d0e6f_complex_2,271.01,1.31,1.58,80.0,80.0
1e0ef00_71d0e6f_ligand_2,269.19,0.79,0.93,80.0,80.0
1e0ef00_71d0e6f_complex_3,266.31,2.08,1.54,80.0,80.0
1e0ef00_71d0e6f_ligand_3,265.21,1.0,0.92,80.0,80.0
71d0e6f_a500639_complex_1,-209.3,0.67,0.73,80.0,80.0
71d0e6f_a500639_ligand_1,-213.43,0.4,0.39,80.0,80.0
71d0e6f_a500639_complex_2,-208.47,0.84,0.75,80.0,80.0
71d0e6f_a500639_ligand_2,-211.29,0.66,0.51,80.0,80.0
71d0e6f_a500639_complex_3,-204.31,1.61,1.17,80.0,80.0
71d0e6f_a500639_ligand_3,-211.98,0.49,0.45,80.0,80.0
71d0e6f_a3705ce_complex_1,-795.88,1.55,0.66,80.0,80.0
71d0e6f_a3705ce_ligand_1,-791.3,0.38,0.36,80.0,80.0
71d0e6f_a3705ce_complex_2,-800.11,2.07,0.82,80.0,80.0
71d0e6f_a3705ce_ligand_2,-791.84,0.4,0.42,80.0,80.0
71d0e6f_a3705ce_complex_3,-787.68,0.75,0.68,80.0,80.0
71d0e6f_a3705ce_ligand_3,-794.72,0.63,0.62,80.0,80.0
161113a_cd2d776_complex_1,-133.79,0.83,0.85,80.0,80.0
161113a_cd2d776_ligand_1,-128.23,0.59,0.59,80.0,80.0
161113a_cd2d776_complex_2,-133.77,0.81,1.02,80.0,80.0
161113a_cd2d776_ligand_2,-129.01,0.64,0.73,80.0,80.0
161113a_cd2d776_complex_3,-129.67,0.89,0.8,80.0,80.0
161113a_cd2d776_ligand_3,-127.77,0.58,0.54,80.0,80.0
5f80774_cd2d776_complex_1,55.2,0.47,0.37,80.0,80.0
5f80774_cd2d776_ligand_1,54.62,0.5,0.47,80.0,80.0
5f80774_cd2d776_complex_2,54.07,0.43,0.42,80.0,80.0
