,val,err_analyt,err_boot,framesA,framesB
1e0ef00_71d0e6f_complex_1,288.82,1.84,1.5,79.0,79.0
1e0ef00_71d0e6f_ligand_1,283.47,0.68,0.81,79.0,79.0
1e0ef00_71d0e6f_complex_2,271.81,7.24,2.79,79.0,79.0
1e0ef00_71d0e6f_ligand_2,278.09,1.09,0.91,79.0,79.0
1e0ef00_71d0e6f_complex_3,282.36,1.09,1.18,79.0,79.0
1e0ef00_71d0e6f_ligand_3,281.19,0.79,0.85,79.0,79.0
71d0e6f_a500639_complex_1,-212.38,0.69,0.76,79.0,79.0
71d0e6f_a500639_ligand_1,-223.3,0.46,0.49,79.0,79.0
71d0e6f_a500639_complex_2,-215.26,0.56,0.7,79.0,79.0
71d0e6f_a500639_ligand_2,-224.25,0.43,0.4,79.0,79.0
71d0e6f_a500639_complex_3,-220.71,0.83,0.66,79.0,79.0
71d0e6f_a500639_ligand_3,-223.71,0.43,0.42,79.0,79.0
71d0e6f_a3705ce_complex_1,-771.09,1.83,1.35,79.0,79.0
71d0e6f_a3705ce_ligand_1,-769.51,0.4,0.33,79.0,79.0
71d0e6f_a3705ce_complex_2,-767.56,0.58,0.74,79.0,79.0
71d0e6f_a3705ce_ligand_2,-768.66,0.37,0.43,79.0,79.0
71d0e6f_a3705ce_complex_3,-769.39,0.79,0.67,79.0,79.0
71d0e6f_a3705ce_ligand_3,-770.49,0.63,0.57,79.0,79.0
161113a_cd2d776_complex_1,-149.28,4.87,0.76,79.0,79.0
161113a_cd2d776_ligand_1,-151.88,0.54,0.57,79.0,79.0
161113a_cd2d776_complex_2,-149.79,6.05,1.52,79.0,79.0
161113a_cd2d776_ligand_2,-152.85,0.62,0.63,79.0,79.0
161113a_cd2d776_complex_3,-144.76,2.24,1.86,79.0,79.0
161113a_cd2d776_ligand_3,-152.07,0.56,0.56,79.0,79.0
5f80774_cd2d776_complex_1,12.98,0.52,0.51,79.0,79.0
5f80774_cd2d776_ligand_1,14.46,0.31,0.31,79.0,79.0
5f80774_cd2d776_complex_2,15.66,0.4,0.44,79.0,79.0
5f80774_cd2d776_ligand_2,14.75,0.28,0.32,79.0,79.0
5f80774_cd2d776_complex_3,15.94,0.64,0.38,79.0,79.0
5f80774_cd2d776_ligand_3,14.18,0.26,0.26,79.0,79.0
0cd00d5_cd2d776_complex_1,-26.63,2.97,0.66,79.0,79.0
0cd00d5_cd2d776_ligand_1,-19.5,0.29,0.31,79.0,79.0
0cd00d5_cd2d776_complex_2,-33.29,0.51,0.66,79.0,79.0
0cd00d5_cd2d776_ligand_2,-19.45,0.31,0.29,79.0,79.0
0cd00d5_cd2d776_complex_3,-31.28,3.75,1.2,79.0,79.0
0cd00d5_cd2d776_ligand_3,-19.5,0.3,0.29,79.0,79.0
161113a_9352ea3_complex_1,21.02,0.72,0.57,79.0,79.0
161113a_9352ea3_ligand_1,21.93,0.55,0.62,79.0,79.0
161113a_9352ea3_complex_2,23.38,0.7,0.63,79.0,79.0
161113a_9352ea3_ligand_2,21.68,0.47,0.52,79.0,79.0
161113a_9352ea3_complex_3,19.07,0.8,0.97,79.0,79.0
161113a_9352ea3_ligand_3,20.91,0.53,0.49,79.0,79.0
161113a_5295938_complex_1,-22.32,0.37,0.5,79.0,79.0
161113a_5295938_ligand_1,-25.85,0.26,0.29,79.0,79.0
161113a_5295938_complex_2,-19.68,0.51,0.56,79.0,79.0
161113a_5295938_ligand_2,-26.54,0.27,0.29,79.0,79.0
161113a_5295938_complex_3,-17.04,0.4,0.43,79.0,79.0
161113a_5295938_ligand_3,-26.79,0.28,0.26,79.0,79.0
161113a_18bf4d8_complex_1,64.2,7.61,1.84,79.0,79.0
161113a_18bf4d8_ligand_1,56.84,0.58,0.57,79.0,79.0
161113a_18bf4d8_complex_2,60.41,2.2,1.66,79.0,79.0
161113a_18bf4d8_ligand_2,55.12,0.65,0.6,79.0,79.0
161113a_18bf4d8_complex_3,55.08,1.71,1.56,79.0,79.0
161113a_18bf4d8_ligand_3,53.39,0.74,0.63,79.0,79.0
72c2cd4_c804203_complex_1,-200.1,0.92,0.83,79.0,79.0
72c2cd4_c804203_ligand_1,-203.64,0.94,0.86,79.0,79.0
72c2cd4_c804203_complex_2,-213.22,0.88,0.83,79.0,79.0
72c2cd4_c804203_ligand_2,-198.96,1.78,1.52,79.0,79.0
72c2cd4_c804203_complex_3,-202.68,6.0,1.9,79.0,79.0
72c2cd4_c804203_ligand_3,-205.48,0.66,0.66,79.0,79.0
72c2cd4_a500639_complex_1,-23.49,0.49,0.33,79.0,79.0
72c2cd4_a500639_ligand_1,-26.26,0.44,0.5,79.0,79.0
72c2cd4_a500639_complex_2,-24.06,0.44,0.29,79.0,79.0
72c2cd4_a500639_ligand_2,-26.07,0.49,0.51,79.0,79.0
72c2cd4_a500639_complex_3,-21.79,0.42,0.31,79.0,79.0
72c2cd4_a500639_ligand_3,-26.01,0.46,0.51,79.0,79.0
72c2cd4_daf354b_complex_1,95.5,1.16,1.07,79.0,79.0
72c2cd4_daf354b_ligand_1,93.72,0.62,0.55,79.0,79.0
72c2cd4_daf354b_complex_2,99.93,3.32,0.74,79.0,79.0
72c2cd4_daf354b_ligand_2,92.4,0.68,0.61,79.0,79.0
72c2cd4_daf354b_complex_3,93.58,1.32,1.1,79.0,79.0
72c2cd4_daf354b_ligand_3,91.85,0.84,0.73,79.0,79.0
384fdc8_76bf269_complex_1,-101.96,0.73,0.7,79.0,79.0
384fdc8_76bf269_ligand_1,-102.55,0.44,0.48,79.0,79.0
384fdc8_76bf269_complex_2,-104.2,1.23,1.11,79.0,79.0
384fdc8_76bf269_ligand_2,-107.04,0.71,0.55,79.0,79.0
384fdc8_76bf269_complex_3,-100.78,0.65,0.64,79.0,79.0
384fdc8_76bf269_ligand_3,-102.8,0.41,0.36,79.0,79.0
59b1e4b_76bf269_complex_1,-91.05,0.43,0.42,79.0,79.0
59b1e4b_76bf269_ligand_1,-92.87,0.29,0.31,79.0,79.0
59b1e4b_76bf269_complex_2,-94.03,1.18,0.8,79.0,79.0
59b1e4b_76bf269_ligand_2,-93.08,0.28,0.28,79.0,79.0
59b1e4b_76bf269_complex_3,-92.43,0.65,0.62,79.0,79.0
59b1e4b_76bf269_ligand_3,-92.9,0.3,0.32,79.0,79.0
5f80774_84482d0_complex_1,201.8,1.24,0.93,79.0,79.0
5f80774_84482d0_ligand_1,190.76,0.78,0.92,79.0,79.0
5f80774_84482d0_complex_2,195.92,1.32,1.41,79.0,79.0
5f80774_84482d0_ligand_2,194.3,0.61,0.62,79.0,79.0
5f80774_84482d0_complex_3,197.94,0.8,0.91,79.0,79.0
