,val,err_analyt,err_boot,framesA,framesB
1e0ef00_71d0e6f_complex_1,284.19,1.06,1.06,80.0,80.0
1e0ef00_71d0e6f_ligand_1,282.64,1.27,1.21,80.0,80.0
1e0ef00_71d0e6f_complex_2,278.35,2.73,2.71,80.0,80.0
1e0ef00_71d0e6f_ligand_2,282.27,1.35,1.0,80.0,80.0
1e0ef00_71d0e6f_complex_3,276.4,1.59,1.15,80.0,80.0
1e0ef00_71d0e6f_ligand_3,287.27,0.8,0.9,80.0,80.0
71d0e6f_a500639_complex_1,-204.57,2.98,1.19,80.0,80.0
71d0e6f_a500639_ligand_1,-200.38,0.38,0.37,80.0,80.0
71d0e6f_a500639_complex_2,-198.02,0.84,0.86,80.0,80.0
71d0e6f_a500639_ligand_2,-199.41,0.45,0.46,80.0,80.0
71d0e6f_a500639_complex_3,-195.56,0.75,0.67,80.0,80.0
71d0e6f_a500639_ligand_3,-195.16,0.65,0.48,80.0,80.0
71d0e6f_a3705ce_complex_1,-762.65,0.73,0.85,80.0,80.0
71d0e6f_a3705ce_ligand_1,-766.16,0.41,0.44,80.0,80.0
71d0e6f_a3705ce_complex_2,-762.52,0.86,0.81,80.0,80.0
71d0e6f_a3705ce_ligand_2,-767.77,0.57,0.55,80.0,80.0
71d0e6f_a3705ce_complex_3,-769.42,1.11,1.1,80.0,80.0
71d0e6f_a3705ce_ligand_3,-767.51,0.49,0.51,80.0,80.0
161113a_cd2d776_complex_1,-155.57,0.57,0.61,80.0,80.0
161113a_cd2d776_ligand_1,-151.99,0.33,0.29,80.0,80.0
161113a_cd2d776_complex_2,-156.6,0.57,0.7,80.0,80.0
161113a_cd2d776_ligand_2,-151.61,0.54,0.51,80.0,80.0
161113a_cd2d776_complex_3,-151.23,0.81,0.71,80.0,80.0
161113a_cd2d776_ligand_3,-152.02,0.42,0.38,80.0,80.0
5f80774_cd2d776_complex_1,37.62,0.31,0.29,80.0,80.0
5f80774_cd2d776_ligand_1,38.72,0.29,0.29,80.0,80.0
5f80774_cd2d776_complex_2,35.84,0.37,0.42,80.0,80.0
5f80774_cd2d776_ligand_2,39.63,0.26,0.22,80.0,80.0
5f80774_cd2d776_complex_3,38.62,0.37,0.38,80.0,80.0
5f80774_cd2d776_ligand_3,39.01,0.26,0.3,80.0,80.0
0cd00d5_cd2d776_complex_1,-42.28,2.74,0.55,80.0,80.0
0cd00d5_cd2d776_ligand_1,-26.41,0.41,0.4,80.0,80.0
0cd00d5_cd2d776_complex_2,-48.22,1.03,0.67,80.0,80.0
0cd00d5_cd2d776_ligand_2,-26.01,0.38,0.42,80.0,80.0
0cd00d5_cd2d776_complex_3,-43.78,1.54,1.29,80.0,80.0
0cd00d5_cd2d776_ligand_3,-25.89,0.47,0.46,80.0,80.0
161113a_9352ea3_complex_1,-45.98,0.45,0.41,80.0,80.0
161113a_9352ea3_ligand_1,-44.68,0.56,0.5,80.0,80.0
161113a_9352ea3_complex_2,-42.99,0.54,0.46,80.0,80.0
161113a_9352ea3_ligand_2,-44.52,0.51,0.54,80.0,80.0
161113a_9352ea3_complex_3,-45.74,0.66,0.53,80.0,80.0
161113a_9352ea3_ligand_3,-44.45,0.54,0.5,80.0,80.0
161113a_5295938_complex_1,-52.35,0.37,0.32,80.0,80.0
161113a_5295938_ligand_1,-51.83,0.26,0.26,80.0,80.0
161113a_5295938_complex_2,-50.61,0.4,0.36,80.0,80.0
161113a_5295938_ligand_2,-51.74,0.25,0.27,80.0,80.0
161113a_5295938_complex_3,-53.13,0.34,0.35,80.0,80.0
161113a_5295938_ligand_3,-51.64,0.22,0.24,80.0,80.0
161113a_18bf4d8_complex_1,59.36,0.96,0.74,80.0,80.0
161113a_18bf4d8_ligand_1,57.1,0.63,0.71,80.0,80.0
161113a_18bf4d8_complex_2,57.3,0.83,0.74,80.0,80.0
161113a_18bf4d8_ligand_2,58.64,0.62,0.58,80.0,80.0
