,val,err_analyt,err_boot,framesA,framesB
1e0ef00_71d0e6f_complex_1,287.76,1.92,1.99,80.0,80.0
1e0ef00_71d0e6f_ligand_1,283.78,1.16,1.34,80.0,80.0
1e0ef00_71d0e6f_complex_2,292.92,5.3,1.84,80.0,80.0
1e0ef00_71d0e6f_ligand_2,285.81,0.95,0.99,80.0,80.0
1e0ef00_71d0e6f_complex_3,279.45,1.9,1.77,80.0,80.0
1e0ef00_71d0e6f_ligand_3,280.37,1.34,1.09,80.0,80.0
71d0e6f_a500639_complex_1,-213.52,0.98,0.76,80.0,80.0
71d0e6f_a500639_ligand_1,-227.79,0.64,0.54,80.0,80.0
71d0e6f_a500639_complex_2,-219.96,0.78,0.8,80.0,80.0
71d0e6f_a500639_ligand_2,-224.76,0.86,0.85,80.0,80.0
71d0e6f_a500639_complex_3,-218.87,0.56,0.81,80.0,80.0
71d0e6f_a500639_ligand_3,-226.82,0.66,0.65,80.0,80.0
71d0e6f_a3705ce_complex_1,-764.21,0.69,0.65,80.0,80.0
71d0e6f_a3705ce_ligand_1,-771.71,0.95,0.65,80.0,80.0
71d0e6f_a3705ce_complex_2,-761.66,0.59,0.66,80.0,80.0
71d0e6f_a3705ce_ligand_2,-765.56,0.36,0.35,80.0,80.0
71d0e6f_a3705ce_complex_3,-765.29,1.11,0.75,80.0,80.0
71d0e6f_a3705ce_ligand_3,-770.52,0.82,0.65,80.0,80.0
161113a_cd2d776_complex_1,-149.2,0.93,0.7,80.0,80.0
161113a_cd2d776_ligand_1,-150.41,0.4,0.41,80.0,80.0
161113a_cd2d776_complex_2,-148.88,1.07,0.86,80.0,80.0
161113a_cd2d776_ligand_2,-150.37,0.42,0.45,80.0,80.0
161113a_cd2d776_complex_3,-150.32,0.67,0.75,80.0,80.0
161113a_cd2d776_ligand_3,-148.21,0.54,0.52,80.0,80.0
5f80774_cd2d776_complex_1,54.29,0.54,0.58,80.0,80.0
5f80774_cd2d776_ligand_1,54.48,0.28,0.28,80.0,80.0
5f80774_cd2d776_complex_2,55.13,0.44,0.48,80.0,80.0
5f80774_cd2d776_ligand_2,54.72,0.26,0.23,80.0,80.0
5f80774_cd2d776_complex_3,57.84,0.64,0.55,80.0,80.0
5f80774_cd2d776_ligand_3,54.42,0.24,0.22,80.0,80.0
0cd00d5_cd2d776_complex_1,-6.32,0.62,0.85,80.0,80.0
0cd00d5_cd2d776_ligand_1,9.23,0.3,0.29,80.0,80.0
0cd00d5_cd2d776_complex_2,-9.51,0.95,1.16,80.0,80.0
0cd00d5_cd2d776_ligand_2,8.78,0.31,0.27,80.0,80.0
0cd00d5_cd2d776_complex_3,-15.45,0.86,0.99,80.0,80.0
0cd00d5_cd2d776_ligand_3,9.21,0.3,0.31,80.0,80.0
161113a_9352ea3_complex_1,-46.04,0.47,0.52,80.0,80.0
161113a_9352ea3_ligand_1,-44.94,0.53,0.59,80.0,80.0
161113a_9352ea3_complex_2,-46.31,0.46,0.51,80.0,80.0
161113a_9352ea3_ligand_2,-45.24,0.51,0.53,80.0,80.0
