,val,err_analyt,err_boot,framesA,framesB
1a849ad_e00fcc4_complex_1,-26.74,0.73,0.77,79.0,79.0
1a849ad_e00fcc4_ligand_1,-25.28,0.66,0.72,79.0,79.0
1a849ad_e00fcc4_complex_2,-30.38,1.8,1.14,79.0,79.0
1a849ad_e00fcc4_ligand_2,-25.38,0.56,0.52,79.0,79.0
1a849ad_e00fcc4_complex_3,-29.5,1.76,0.8,79.0,79.0
1a849ad_e00fcc4_ligand_3,-23.54,0.65,0.7,79.0,79.0
b8214a7_e00fcc4_complex_1,-20.76,0.65,0.62,79.0,79.0
b8214a7_e00fcc4_ligand_1,-22.75,0.5,0.49,79.0,79.0
b8214a7_e00fcc4_complex_2,-16.73,0.67,0.68,79.0,79.0
b8214a7_e00fcc4_ligand_2,-22.05,0.51,0.49,79.0,79.0
b8214a7_e00fcc4_complex_3,-18.66,0.8,0.68,79.0,79.0
b8214a7_e00fcc4_ligand_3,-21.62,0.54,0.6,79.0,79.0
272cc87_e00fcc4_complex_1,74.75,1.28,1.76,78.0,79.0
272cc87_e00fcc4_ligand_1,68.86,0.52,0.59,79.0,79.0
272cc87_e00fcc4_complex_2,69.6,0.85,0.96,79.0,79.0
272cc87_e00fcc4_ligand_2,68.24,0.59,0.47,79.0,79.0
272cc87_e00fcc4_complex_3,71.52,1.1,1.08,79.0,79.0
272cc87_e00fcc4_ligand_3,68.79,0.54,0.54,79.0,79.0
2d91a20_a903013_complex_1,-95.94,0.75,0.7,79.0,79.0
2d91a20_a903013_ligand_1,-81.33,0.29,0.28,79.0,79.0
2d91a20_a903013_complex_2,-94.12,0.89,0.7,79.0,79.0
2d91a20_a903013_ligand_2,-81.41,0.29,0.28,79.0,79.0
2d91a20_a903013_complex_3,-90.71,1.25,1.05,79.0,79.0
2d91a20_a903013_ligand_3,-81.97,0.25,0.21,79.0,79.0
81ac7ee_a903013_complex_1,-71.28,1.14,0.94,79.0,79.0
81ac7ee_a903013_ligand_1,-58.82,0.66,0.73,79.0,78.0
