,val,err_analyt,err_boot,framesA,framesB
1a849ad_e00fcc4_complex_1,-27.05,1.08,1.25,79.0,79.0
1a849ad_e00fcc4_ligand_1,-27.21,0.61,0.56,79.0,79.0
1a849ad_e00fcc4_complex_2,-26.63,1.24,1.22,79.0,79.0
1a849ad_e00fcc4_ligand_2,-28.37,0.61,0.6,79.0,79.0
1a849ad_e00fcc4_complex_3,-30.08,1.47,1.82,78.0,78.0
1a849ad_e00fcc4_ligand_3,-27.88,0.61,0.74,79.0,79.0
b8214a7_e00fcc4_complex_1,-18.44,0.78,0.77,79.0,79.0
b8214a7_e00fcc4_ligand_1,-22.36,0.59,0.52,79.0,79.0
b8214a7_e00fcc4_complex_2,-19.63,0.6,0.66,79.0,79.0
b8214a7_e00fcc4_ligand_2,-21.59,0.59,0.53,79.0,79.0
b8214a7_e00fcc4_complex_3,-16.54,0.66,0.8,79.0,79.0
b8214a7_e00fcc4_ligand_3,-21.91,0.58,0.54,79.0,79.0
272cc87_e00fcc4_complex_1,63.79,1.46,1.16,79.0,79.0
272cc87_e00fcc4_ligand_1,64.86,0.63,0.66,79.0,79.0
272cc87_e00fcc4_complex_2,69.91,2.83,0.7,79.0,79.0
272cc87_e00fcc4_ligand_2,65.34,0.57,0.64,79.0,79.0
272cc87_e00fcc4_complex_3,61.92,1.15,1.18,79.0,79.0
272cc87_e00fcc4_ligand_3,65.5,0.63,0.58,79.0,79.0
2d91a20_a903013_complex_1,-94.14,0.82,0.86,79.0,79.0
2d91a20_a903013_ligand_1,-81.29,0.29,0.3,79.0,79.0
2d91a20_a903013_complex_2,-92.97,1.04,0.76,79.0,79.0
2d91a20_a903013_ligand_2,-81.75,0.29,0.28,79.0,79.0
2d91a20_a903013_complex_3,-96.02,0.61,0.67,79.0,79.0
2d91a20_a903013_ligand_3,-81.75,0.27,0.29,79.0,79.0
81ac7ee_a903013_complex_1,-67.55,1.25,0.97,79.0,79.0
81ac7ee_a903013_ligand_1,-59.87,0.6,0.62,79.0,79.0
81ac7ee_a903013_complex_2,-64.44,0.93,0.58,79.0,79.0
81ac7ee_a903013_ligand_2,-58.97,0.61,0.6,79.0,79.0
81ac7ee_a903013_complex_3,-64.78,0.9,0.86,79.0,79.0
81ac7ee_a903013_ligand_3,-59.17,0.6,0.55,79.0,79.0
1a849ad_2d91a20_complex_1,-69.15,0.65,0.63,79.0,79.0
1a849ad_2d91a20_ligand_1,-74.47,0.28,0.28,79.0,79.0
1a849ad_2d91a20_complex_2,-71.01,0.76,0.61,79.0,79.0
1a849ad_2d91a20_ligand_2,-74.43,0.28,0.29,79.0,79.0
1a849ad_2d91a20_complex_3,-70.59,0.84,0.92,79.0,79.0
1a849ad_2d91a20_ligand_3,-74.28,0.29,0.28,79.0,79.0
