,val,err_analyt,err_boot,framesA,framesB
1a849ad_e00fcc4_ligand_1,-14.2,0.51,0.5,80.0,80.0
1a849ad_e00fcc4_complex_1,-24.06,1.33,1.22,80.0,63.0
1a849ad_e00fcc4_ligand_2,-14.92,0.52,0.52,80.0,80.0
1a849ad_e00fcc4_complex_2,-15.59,1.02,1.01,80.0,80.0
1a849ad_e00fcc4_ligand_3,-14.43,0.58,0.49,80.0,80.0
1a849ad_e00fcc4_complex_3,-20.15,1.33,0.96,80.0,80.0
b8214a7_e00fcc4_ligand_1,-23.45,0.46,0.37,80.0,80.0
b8214a7_e00fcc4_complex_1,-15.55,0.92,0.64,80.0,80.0
b8214a7_e00fcc4_ligand_2,-22.25,0.48,0.52,80.0,80.0
b8214a7_e00fcc4_complex_2,-17.08,0.76,0.56,80.0,80.0
b8214a7_e00fcc4_ligand_3,-22.77,0.51,0.56,80.0,67.0
b8214a7_e00fcc4_complex_3,-21.01,0.74,0.61,80.0,80.0
272cc87_e00fcc4_ligand_1,78.8,0.6,0.59,80.0,80.0
272cc87_e00fcc4_complex_1,76.28,1.72,0.88,80.0,80.0
272cc87_e00fcc4_ligand_2,77.85,0.52,0.47,80.0,80.0
272cc87_e00fcc4_complex_2,79.15,2.1,1.51,80.0,80.0
272cc87_e00fcc4_ligand_3,77.93,0.55,0.54,80.0,67.0
272cc87_e00fcc4_complex_3,80.48,1.5,1.76,80.0,80.0
2d91a20_a903013_ligand_1,-80.83,0.29,0.31,80.0,80.0
2d91a20_a903013_complex_1,-101.08,0.52,0.53,80.0,80.0
2d91a20_a903013_ligand_2,-80.73,0.31,0.29,80.0,80.0
2d91a20_a903013_complex_2,-99.68,0.63,0.54,80.0,80.0
2d91a20_a903013_ligand_3,-80.2,0.32,0.33,80.0,80.0
2d91a20_a903013_complex_3,-96.93,0.85,0.57,80.0,80.0
81ac7ee_a903013_ligand_1,-58.08,0.31,0.32,66.0,80.0
81ac7ee_a903013_complex_1,-69.53,0.39,0.56,80.0,80.0
81ac7ee_a903013_ligand_2,-58.11,0.25,0.21,80.0,80.0
81ac7ee_a903013_complex_2,-69.89,1.29,0.49,80.0,80.0
81ac7ee_a903013_ligand_3,-57.44,0.27,0.26,80.0,80.0
81ac7ee_a903013_complex_3,-65.69,0.7,0.48,80.0,80.0
1a849ad_2d91a20_ligand_1,-69.02,0.3,0.26,80.0,80.0
1a849ad_2d91a20_complex_1,-66.17,0.55,0.6,80.0,80.0
1a849ad_2d91a20_ligand_2,-69.34,0.28,0.29,80.0,80.0
1a849ad_2d91a20_complex_2,-65.8,1.18,0.42,80.0,80.0
1a849ad_2d91a20_ligand_3,-69.09,0.31,0.33,80.0,80.0
1a849ad_2d91a20_complex_3,-67.62,0.83,0.66,80.0,80.0
1a849ad_272cc87_ligand_1,-93.26,0.26,0.27,80.0,80.0
1a849ad_272cc87_complex_1,-99.78,0.44,0.38,80.0,80.0
1a849ad_272cc87_ligand_2,-93.48,0.28,0.26,80.0,80.0
1a849ad_272cc87_complex_2,-96.29,0.31,0.38,80.0,80.0
1a849ad_272cc87_ligand_3,-93.58,0.27,0.27,80.0,80.0
1a849ad_272cc87_complex_3,-98.08,0.42,0.3,80.0,80.0
1a849ad_d529b4f_ligand_1,-88.54,0.31,0.33,80.0,80.0
1a849ad_d529b4f_complex_1,-92.37,0.42,0.59,80.0,80.0
1a849ad_d529b4f_ligand_2,-89.01,0.28,0.31,80.0,80.0
1a849ad_d529b4f_complex_2,-92.21,0.57,0.61,80.0,80.0
1a849ad_d529b4f_ligand_3,-88.78,0.31,0.34,80.0,66.0
1a849ad_d529b4f_complex_3,-94.63,0.58,0.46,80.0,80.0
684785b_9b2c328_ligand_1,-70.84,0.57,0.61,80.0,66.0
684785b_9b2c328_complex_1,-58.73,2.43,1.65,80.0,80.0
684785b_9b2c328_ligand_2,-70.71,0.49,0.41,80.0,80.0
684785b_9b2c328_complex_2,-58.1,1.47,1.63,80.0,80.0
684785b_9b2c328_ligand_3,-70.84,0.48,0.57,80.0,80.0
684785b_9b2c328_complex_3,-53.76,5.27,1.03,80.0,80.0
684785b_aac0b7c_ligand_1,85.72,0.32,0.35,80.0,80.0
684785b_aac0b7c_complex_1,84.52,0.32,0.33,80.0,80.0
684785b_aac0b7c_ligand_2,84.98,0.29,0.31,66.0,80.0
684785b_aac0b7c_complex_2,84.61,0.31,0.29,80.0,80.0
684785b_aac0b7c_ligand_3,84.96,0.28,0.27,80.0,80.0
684785b_aac0b7c_complex_3,83.93,0.31,0.31,66.0,80.0
2a8e26e_684785b_ligand_1,-204.98,0.3,0.28,80.0,80.0
2a8e26e_684785b_complex_1,-205.78,0.4,0.37,80.0,80.0
2a8e26e_684785b_ligand_2,-205.42,0.31,0.31,80.0,80.0
2a8e26e_684785b_complex_2,-205.4,0.53,0.42,80.0,80.0
2a8e26e_684785b_ligand_3,-205.37,0.3,0.3,80.0,80.0
2a8e26e_684785b_complex_3,-204.15,0.82,0.73,60.0,80.0
1d02965_684785b_ligand_1,-123.76,0.3,0.28,80.0,80.0
1d02965_684785b_complex_1,-130.29,0.48,0.3,80.0,80.0
1d02965_684785b_ligand_2,-124.14,0.31,0.32,80.0,80.0
1d02965_684785b_complex_2,-130.16,0.35,0.38,80.0,63.0
1d02965_684785b_ligand_3,-124.08,0.29,0.31,63.0,80.0
1d02965_684785b_complex_3,-133.41,0.46,0.41,80.0,59.0
684785b_b7fe5cf_ligand_1,187.56,0.33,0.34,80.0,80.0
684785b_b7fe5cf_complex_1,192.6,0.49,0.52,80.0,80.0
684785b_b7fe5cf_ligand_2,188.44,0.35,0.34,80.0,80.0
684785b_b7fe5cf_complex_2,197.35,1.16,0.94,61.0,80.0
684785b_b7fe5cf_ligand_3,188.38,0.33,0.31,80.0,80.0
684785b_b7fe5cf_complex_3,195.53,0.7,0.45,80.0,80.0
684785b_7a2b4c9_ligand_1,37.92,0.26,0.25,80.0,80.0
684785b_7a2b4c9_complex_1,48.02,0.36,0.25,80.0,80.0
684785b_7a2b4c9_ligand_2,38.15,0.26,0.24,80.0,80.0
684785b_7a2b4c9_complex_2,48.31,0.24,0.28,80.0,80.0
684785b_7a2b4c9_ligand_3,38.65,0.28,0.3,80.0,80.0
684785b_7a2b4c9_complex_3,45.33,0.24,0.26,80.0,80.0
0d16094_7327eb8_ligand_1,-177.31,0.23,0.21,80.0,80.0
0d16094_7327eb8_complex_1,-182.59,0.49,0.45,80.0,80.0
0d16094_7327eb8_ligand_2,-176.75,0.27,0.29,80.0,80.0
0d16094_7327eb8_complex_2,-180.12,0.46,0.45,80.0,80.0
0d16094_7327eb8_ligand_3,-177.74,0.29,0.28,64.0,80.0
0d16094_7327eb8_complex_3,-180.67,0.53,0.45,80.0,80.0
7327eb8_fc284a2_ligand_1,84.97,0.28,0.28,80.0,80.0
7327eb8_fc284a2_complex_1,89.64,0.41,0.41,80.0,80.0
7327eb8_fc284a2_ligand_2,84.34,0.27,0.27,80.0,80.0
7327eb8_fc284a2_complex_2,85.42,0.38,0.51,80.0,80.0
