,val,err_analyt,err_boot,framesA,framesB
1a849ad_e00fcc4_complex_1,-30.28,1.12,1.0,79.0,79.0
1a849ad_e00fcc4_ligand_1,-19.01,0.55,0.6,79.0,79.0
1a849ad_e00fcc4_complex_2,-21.76,1.67,1.81,79.0,79.0
1a849ad_e00fcc4_ligand_2,-19.8,0.63,0.55,79.0,79.0
1a849ad_e00fcc4_complex_3,-24.3,0.95,0.89,79.0,79.0
1a849ad_e00fcc4_ligand_3,-18.67,0.52,0.63,79.0,79.0
b8214a7_e00fcc4_complex_1,-19.49,0.58,0.58,79.0,79.0
b8214a7_e00fcc4_ligand_1,-23.54,0.46,0.39,79.0,79.0
b8214a7_e00fcc4_complex_2,-15.92,0.83,0.86,79.0,79.0
b8214a7_e00fcc4_ligand_2,-23.36,0.52,0.51,79.0,79.0
b8214a7_e00fcc4_complex_3,-21.74,0.62,0.73,79.0,79.0
b8214a7_e00fcc4_ligand_3,-24.19,0.52,0.41,79.0,79.0
272cc87_e00fcc4_complex_1,67.32,1.25,0.97,79.0,79.0
272cc87_e00fcc4_ligand_1,73.8,0.6,0.52,79.0,79.0
272cc87_e00fcc4_complex_2,72.68,1.27,1.23,79.0,79.0
272cc87_e00fcc4_ligand_2,74.13,0.62,0.63,79.0,79.0
272cc87_e00fcc4_complex_3,76.64,1.12,0.93,79.0,79.0
272cc87_e00fcc4_ligand_3,74.69,0.58,0.64,79.0,79.0
2d91a20_a903013_complex_1,-98.14,0.95,0.72,79.0,79.0
2d91a20_a903013_ligand_1,-84.08,0.3,0.28,79.0,79.0
2d91a20_a903013_complex_2,-101.14,0.86,0.73,79.0,79.0
2d91a20_a903013_ligand_2,-83.76,0.32,0.35,79.0,79.0
2d91a20_a903013_complex_3,-94.56,0.88,0.71,79.0,79.0
2d91a20_a903013_ligand_3,-83.93,0.3,0.33,79.0,79.0
81ac7ee_a903013_complex_1,-67.91,0.48,0.59,79.0,79.0
81ac7ee_a903013_ligand_1,-57.76,0.25,0.25,79.0,79.0
81ac7ee_a903013_complex_2,-67.68,0.62,0.39,79.0,79.0
81ac7ee_a903013_ligand_2,-56.65,0.28,0.23,79.0,79.0
81ac7ee_a903013_complex_3,-67.28,0.66,0.66,79.0,79.0
81ac7ee_a903013_ligand_3,-57.8,0.31,0.29,79.0,79.0
1a849ad_2d91a20_complex_1,-71.23,0.74,0.45,79.0,79.0
1a849ad_2d91a20_ligand_1,-70.04,0.31,0.35,79.0,79.0
1a849ad_2d91a20_complex_2,-70.42,0.55,0.64,79.0,79.0
1a849ad_2d91a20_ligand_2,-69.88,0.32,0.39,79.0,79.0
1a849ad_2d91a20_complex_3,-67.7,0.76,0.49,79.0,79.0
1a849ad_2d91a20_ligand_3,-69.85,0.3,0.27,79.0,79.0
1a849ad_2bb0d13_complex_1,-46.91,0.59,0.64,79.0,79.0
1a849ad_2bb0d13_ligand_1,-44.51,0.58,0.63,79.0,79.0
1a849ad_2bb0d13_complex_2,-48.92,0.53,0.51,79.0,79.0
1a849ad_2bb0d13_ligand_2,-46.1,0.63,0.5,79.0,79.0
1a849ad_2bb0d13_complex_3,-48.68,0.65,0.71,79.0,79.0
1a849ad_2bb0d13_ligand_3,-44.45,0.6,0.54,79.0,79.0
1a849ad_272cc87_complex_1,-96.38,0.74,0.64,79.0,79.0
1a849ad_272cc87_ligand_1,-91.84,0.64,0.76,79.0,79.0
1a849ad_272cc87_complex_2,-96.27,0.81,0.74,79.0,79.0
1a849ad_272cc87_ligand_2,-92.14,0.66,0.71,79.0,79.0
1a849ad_272cc87_complex_3,-96.92,0.73,0.82,79.0,79.0
1a849ad_272cc87_ligand_3,-92.46,0.64,0.54,79.0,79.0
1a849ad_d529b4f_complex_1,-92.84,0.74,0.79,79.0,79.0
1a849ad_d529b4f_ligand_1,-88.93,0.61,0.61,79.0,79.0
1a849ad_d529b4f_complex_2,-90.71,0.95,0.94,79.0,79.0
1a849ad_d529b4f_ligand_2,-88.55,0.61,0.61,79.0,79.0
1a849ad_d529b4f_complex_3,-93.72,0.9,1.01,79.0,79.0
1a849ad_d529b4f_ligand_3,-88.54,0.58,0.53,79.0,79.0
684785b_9b2c328_complex_1,3.97,1.66,1.92,79.0,79.0
684785b_9b2c328_ligand_1,-5.14,0.57,0.55,79.0,79.0
684785b_9b2c328_complex_2,3.07,1.74,1.56,79.0,79.0
684785b_9b2c328_ligand_2,-5.05,0.58,0.58,79.0,79.0
684785b_9b2c328_complex_3,16.67,1.19,1.07,79.0,79.0
684785b_9b2c328_ligand_3,-4.91,0.57,0.58,79.0,79.0
684785b_aac0b7c_complex_1,4.99,0.37,0.31,79.0,79.0
684785b_aac0b7c_ligand_1,6.52,0.33,0.33,79.0,79.0
684785b_aac0b7c_complex_2,5.64,0.4,0.38,79.0,79.0
684785b_aac0b7c_ligand_2,6.32,0.33,0.33,79.0,79.0
684785b_aac0b7c_complex_3,4.75,0.41,0.39,79.0,79.0
684785b_aac0b7c_ligand_3,5.57,0.31,0.29,79.0,79.0
2a8e26e_684785b_complex_1,-146.68,0.63,0.6,79.0,79.0
2a8e26e_684785b_ligand_1,-141.58,0.35,0.35,79.0,79.0
2a8e26e_684785b_complex_2,-142.53,0.72,0.58,79.0,79.0
2a8e26e_684785b_ligand_2,-141.26,0.39,0.39,79.0,79.0
2a8e26e_684785b_complex_3,-147.28,0.62,0.53,79.0,79.0
2a8e26e_684785b_ligand_3,-140.73,0.38,0.34,79.0,79.0
1d02965_684785b_complex_1,-51.35,0.49,0.47,79.0,79.0
1d02965_684785b_ligand_1,-48.23,0.28,0.27,79.0,79.0
1d02965_684785b_complex_2,-49.61,0.67,0.5,79.0,79.0
1d02965_684785b_ligand_2,-47.95,0.27,0.24,79.0,79.0
1d02965_684785b_complex_3,-49.1,0.7,0.7,79.0,79.0
1d02965_684785b_ligand_3,-48.31,0.29,0.27,79.0,79.0
684785b_b7fe5cf_complex_1,123.3,0.69,0.54,79.0,79.0
684785b_b7fe5cf_ligand_1,117.66,0.38,0.3,79.0,79.0
684785b_b7fe5cf_complex_2,121.53,0.61,0.58,79.0,79.0
684785b_b7fe5cf_ligand_2,118.2,0.33,0.34,79.0,79.0
684785b_b7fe5cf_complex_3,124.99,0.71,0.57,79.0,79.0
684785b_b7fe5cf_ligand_3,117.88,0.36,0.36,79.0,79.0
684785b_7a2b4c9_complex_1,50.18,0.4,0.54,79.0,79.0
684785b_7a2b4c9_ligand_1,42.75,0.31,0.28,79.0,79.0
684785b_7a2b4c9_complex_2,48.93,0.54,0.39,79.0,79.0
684785b_7a2b4c9_ligand_2,42.82,0.32,0.33,79.0,79.0
684785b_7a2b4c9_complex_3,50.59,0.35,0.36,79.0,79.0
684785b_7a2b4c9_ligand_3,42.9,0.28,0.26,79.0,79.0
0d16094_7327eb8_complex_1,-175.77,0.46,0.43,79.0,79.0
0d16094_7327eb8_ligand_1,-174.69,0.27,0.27,79.0,79.0
0d16094_7327eb8_complex_2,-180.23,0.36,0.44,79.0,79.0
0d16094_7327eb8_ligand_2,-174.76,0.23,0.22,79.0,79.0
0d16094_7327eb8_complex_3,-177.2,0.34,0.39,79.0,79.0
0d16094_7327eb8_ligand_3,-174.66,0.25,0.25,79.0,79.0
7327eb8_9a5e44f_complex_1,194.12,1.28,1.07,79.0,79.0
7327eb8_9a5e44f_ligand_1,197.29,0.52,0.55,79.0,79.0
7327eb8_9a5e44f_complex_2,197.21,1.37,1.11,79.0,79.0
7327eb8_9a5e44f_ligand_2,196.15,0.53,0.57,79.0,79.0
7327eb8_9a5e44f_complex_3,196.72,0.98,1.01,79.0,79.0
7327eb8_9a5e44f_ligand_3,196.87,0.53,0.54,79.0,79.0
2d91a20_aff47cb_complex_1,55.32,0.93,0.67,79.0,79.0
2d91a20_aff47cb_ligand_1,58.92,0.26,0.23,79.0,79.0
2d91a20_aff47cb_complex_2,48.17,0.8,0.64,79.0,79.0
2d91a20_aff47cb_ligand_2,59.35,0.3,0.29,79.0,79.0
2d91a20_aff47cb_complex_3,48.52,0.6,0.55,79.0,79.0
2d91a20_aff47cb_ligand_3,59.04,0.28,0.24,79.0,79.0
8f59e32_aff47cb_complex_1,-10.54,0.48,0.46,79.0,79.0
8f59e32_aff47cb_ligand_1,-3.0,0.25,0.25,79.0,79.0
8f59e32_aff47cb_complex_2,-10.09,0.47,0.42,79.0,79.0
8f59e32_aff47cb_ligand_2,-2.72,0.26,0.27,79.0,79.0
8f59e32_aff47cb_complex_3,-7.15,0.57,0.39,79.0,79.0
8f59e32_aff47cb_ligand_3,-3.18,0.24,0.22,79.0,79.0
0d16094_2d91a20_complex_1,-42.43,0.43,0.53,79.0,79.0
0d16094_2d91a20_ligand_1,-51.65,0.21,0.22,79.0,79.0
0d16094_2d91a20_complex_2,-46.14,0.44,0.5,79.0,79.0
0d16094_2d91a20_ligand_2,-51.24,0.25,0.21,79.0,79.0
0d16094_2d91a20_complex_3,-41.62,0.47,0.54,79.0,79.0
0d16094_2d91a20_ligand_3,-51.76,0.23,0.22,79.0,79.0
2d91a20_902ba3c_complex_1,93.84,1.46,0.82,79.0,79.0
2d91a20_902ba3c_ligand_1,98.65,0.44,0.54,79.0,79.0
2d91a20_902ba3c_complex_2,96.78,1.24,0.82,79.0,79.0
2d91a20_902ba3c_ligand_2,98.25,0.42,0.35,79.0,79.0
2d91a20_902ba3c_complex_3,90.61,0.64,0.66,79.0,79.0
2d91a20_902ba3c_ligand_3,97.64,0.4,0.4,79.0,79.0
2d91a20_fc284a2_complex_1,-66.28,0.47,0.52,79.0,79.0
2d91a20_fc284a2_ligand_1,-56.76,0.33,0.28,79.0,79.0
