,val,err_analyt,err_boot,framesA,framesB
1a849ad_e00fcc4_complex_1,-27.17,1.55,1.21,79.0,79.0
1a849ad_e00fcc4_ligand_1,-24.37,0.66,0.59,79.0,79.0
1a849ad_e00fcc4_complex_2,-30.5,2.05,2.21,79.0,79.0
1a849ad_e00fcc4_ligand_2,-24.37,0.57,0.52,79.0,79.0
1a849ad_e00fcc4_complex_3,-25.54,0.8,0.93,79.0,79.0
1a849ad_e00fcc4_ligand_3,-23.32,0.6,0.45,79.0,79.0
b8214a7_e00fcc4_complex_1,-23.83,0.55,0.44,79.0,79.0
b8214a7_e00fcc4_ligand_1,-29.03,0.29,0.31,79.0,79.0
b8214a7_e00fcc4_complex_2,-25.5,0.55,0.52,79.0,79.0
b8214a7_e00fcc4_ligand_2,-28.41,0.31,0.29,79.0,79.0
b8214a7_e00fcc4_complex_3,-25.33,0.43,0.37,79.0,79.0
b8214a7_e00fcc4_ligand_3,-28.61,0.29,0.27,79.0,79.0
272cc87_e00fcc4_complex_1,68.58,1.16,1.01,79.0,79.0
272cc87_e00fcc4_ligand_1,68.43,0.59,0.57,79.0,79.0
272cc87_e00fcc4_complex_2,72.04,4.65,2.44,79.0,79.0
272cc87_e00fcc4_ligand_2,68.91,0.55,0.52,79.0,79.0
272cc87_e00fcc4_complex_3,72.44,1.0,0.95,79.0,79.0
272cc87_e00fcc4_ligand_3,67.93,0.57,0.49,79.0,79.0
2d91a20_a903013_complex_1,-91.69,0.87,0.95,79.0,79.0
2d91a20_a903013_ligand_1,-83.91,0.35,0.33,79.0,79.0
2d91a20_a903013_complex_2,-93.63,0.86,0.86,79.0,79.0
2d91a20_a903013_ligand_2,-83.46,0.3,0.29,79.0,79.0
2d91a20_a903013_complex_3,-90.32,0.98,0.8,79.0,79.0
2d91a20_a903013_ligand_3,-83.82,0.32,0.31,79.0,79.0
81ac7ee_a903013_complex_1,-64.16,0.43,0.51,79.0,79.0
81ac7ee_a903013_ligand_1,-57.35,0.28,0.26,79.0,79.0
81ac7ee_a903013_complex_2,-70.89,0.78,0.33,79.0,79.0
81ac7ee_a903013_ligand_2,-57.44,0.26,0.25,79.0,79.0
81ac7ee_a903013_complex_3,-64.86,0.61,0.5,79.0,79.0
81ac7ee_a903013_ligand_3,-57.49,0.27,0.24,79.0,79.0
1a849ad_2d91a20_complex_1,-67.06,0.7,0.61,79.0,79.0
1a849ad_2d91a20_ligand_1,-70.01,0.37,0.35,79.0,79.0
1a849ad_2d91a20_complex_2,-64.69,0.57,0.55,79.0,79.0
1a849ad_2d91a20_ligand_2,-69.85,0.34,0.39,79.0,79.0
1a849ad_2d91a20_complex_3,-66.44,0.62,0.54,79.0,79.0
1a849ad_2d91a20_ligand_3,-69.81,0.34,0.33,79.0,79.0
1a849ad_2bb0d13_complex_1,-48.17,0.77,0.9,79.0,79.0
1a849ad_2bb0d13_ligand_1,-44.38,0.56,0.49,79.0,79.0
1a849ad_2bb0d13_complex_2,-43.61,0.86,0.74,79.0,79.0
1a849ad_2bb0d13_ligand_2,-45.67,0.61,0.63,79.0,79.0
1a849ad_2bb0d13_complex_3,-50.77,0.61,0.8,79.0,79.0
1a849ad_2bb0d13_ligand_3,-45.15,0.58,0.56,79.0,79.0
1a849ad_272cc87_complex_1,-98.0,0.77,0.79,79.0,79.0
1a849ad_272cc87_ligand_1,-92.61,0.63,0.6,79.0,79.0
1a849ad_272cc87_complex_2,-96.74,0.77,0.78,79.0,79.0
1a849ad_272cc87_ligand_2,-93.4,0.63,0.74,79.0,79.0
1a849ad_272cc87_complex_3,-98.2,0.6,0.68,79.0,79.0
1a849ad_272cc87_ligand_3,-94.14,0.6,0.63,79.0,79.0
1a849ad_d529b4f_complex_1,-98.93,0.61,0.68,79.0,79.0
1a849ad_d529b4f_ligand_1,-88.42,0.61,0.52,79.0,79.0
1a849ad_d529b4f_complex_2,-93.82,1.27,0.92,79.0,79.0
1a849ad_d529b4f_ligand_2,-88.6,0.54,0.53,79.0,79.0
1a849ad_d529b4f_complex_3,-93.81,0.99,0.73,79.0,79.0
1a849ad_d529b4f_ligand_3,-88.12,0.55,0.5,79.0,79.0
684785b_9b2c328_complex_1,12.9,1.13,1.05,79.0,79.0
684785b_9b2c328_ligand_1,-5.78,0.59,0.6,79.0,79.0
684785b_9b2c328_complex_2,12.48,2.66,1.98,79.0,79.0
684785b_9b2c328_ligand_2,-6.47,0.54,0.5,79.0,79.0
684785b_9b2c328_complex_3,13.03,2.08,0.83,79.0,79.0
684785b_9b2c328_ligand_3,-5.88,0.58,0.59,79.0,79.0
